cohort,model,AUROC,AUPRC,n_features,AUROC_cost
ICU,FULL (39 features),0.7926,0.5149,76,0.0
ICU,minus 20 discharge-assigned features,0.7869,0.5095,56,0.0057
SW,FULL (39 features),0.8577,0.5209,76,0.0
SW,minus 20 discharge-assigned features,0.854,0.5212,56,0.0037
