cohort,removed_group,AUROC,AUPRC,n_features,AUROC_drop
SW,(none) FULL,0.8058,0.2261,76,0.0
SW,demographics,0.8057,0.2249,49,0.0001
SW,clinical_core,0.7939,0.2088,64,0.0119
SW,icd_chapters,0.7999,0.2168,58,0.0059
SW,charlson,0.8059,0.2262,75,-0.0001
SW,chronic_count,0.8043,0.2254,75,0.0015
SW,process,0.5961,0.1105,59,0.2097
