cohort,removed_group,AUROC,AUPRC,n_features,AUROC_drop
SW,(none) FULL,0.8002,0.2659,76,0.0
SW,demographics,0.8003,0.2648,49,-0.0001
SW,clinical_core,0.785,0.2427,64,0.0152
SW,icd_chapters,0.7936,0.2514,58,0.0066
SW,charlson,0.8002,0.2659,75,0.0
SW,chronic_count,0.7985,0.2643,75,0.0017
SW,process,0.6033,0.1338,59,0.1969
