cohort,removed_group,AUROC,AUPRC,n_features,AUROC_drop
SW,(none) FULL,0.8485,0.1001,76,0.0
SW,demographics,0.8503,0.1007,49,-0.0018
SW,clinical_core,0.8493,0.0938,64,-0.0008
SW,icd_chapters,0.8517,0.1109,58,-0.0032
SW,charlson,0.8484,0.1,75,0.0001
SW,chronic_count,0.8488,0.101,75,-0.0003
SW,process,0.5795,0.0273,59,0.269
