Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-k23,SW,Sequence Only,0.3662,0.5534,0.0884,0.0858,0.7473,0.154,40,18.7,0f50fb19f263c430
CNN-k23,SW,Sequence + Tabular,0.6834,0.8284,0.27,0.1759,0.8419,0.291,22,12.0,0f50fb19f263c430
