Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-k23,SW,Sequence Only,0.4548,0.62,0.0312,0.0313,0.7597,0.06,17,8.3,0f50fb19f263c430
CNN-k23,SW,Sequence + Tabular,0.7277,0.8414,0.1092,0.0667,0.8377,0.1236,20,11.2,0f50fb19f263c430
