Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-k23,ICU,Sequence Only,0.3444,0.5434,0.1541,0.1507,0.7948,0.2534,22,11.5,14d2082d80407129
CNN-k23,ICU,Sequence + Tabular,0.7674,0.7846,0.4353,0.3286,0.6344,0.433,29,17.1,14d2082d80407129
CNN-k23,SW,Sequence Only,0.6846,0.6993,0.6426,0.7144,0.5256,0.6056,24,2.5,476006eb47fe7cf9
CNN-k23,SW,Sequence + Tabular,0.7396,0.8093,0.8071,0.7576,0.6395,0.6936,43,5.0,476006eb47fe7cf9
