Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-k23,SW,Sequence Only,0.3578,0.564,0.106,0.1026,0.7725,0.1811,17,8.0,0f50fb19f263c430
CNN-k23,SW,Sequence + Tabular,0.7831,0.8278,0.3112,0.2572,0.7198,0.3789,26,14.0,0f50fb19f263c430
