Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-k23,ICU,Sequence Only,0.6259,0.5311,0.1266,0.13,0.3775,0.1934,19,11.8,6e09b6e8a1606e84
CNN-k23,ICU,Sequence + Tabular,0.7371,0.7873,0.3809,0.2672,0.6962,0.3862,23,16.8,6e09b6e8a1606e84
CNN-k23,SW,Sequence Only,0.9088,0.6913,0.3553,0.5225,0.3668,0.431,41,19.8,0f50fb19f263c430
CNN-k23,SW,Sequence + Tabular,0.8338,0.8947,0.6077,0.3359,0.7834,0.4702,34,19.4,0f50fb19f263c430
