Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Train_Time_s,Test_Time_s,n_features,pos_rate,Seed,split_id
LR,ICU,With BoW,0.7568,0.7758,0.384,0.2793,0.6628,0.393,1.551,0.027,356,0.1162,1,6e09b6e8a1606e84
RF,ICU,With BoW,0.8813,0.7912,0.352,0.5333,0.004,0.0079,4.796,0.123,356,0.1162,1,6e09b6e8a1606e84
GB,ICU,With BoW,0.7509,0.8169,0.4058,0.2863,0.7346,0.412,40.311,0.062,356,0.1162,1,6e09b6e8a1606e84
KNN,ICU,With BoW,0.8762,0.5799,0.1507,0.3077,0.0339,0.061,0.061,6.615,356,0.1162,1,6e09b6e8a1606e84
LR,ICU,With BoW,0.7568,0.7758,0.384,0.2793,0.6628,0.393,1.633,0.03,356,0.1162,2,6e09b6e8a1606e84
RF,ICU,With BoW,0.8817,0.7934,0.3553,0.6538,0.0085,0.0167,5.223,0.126,356,0.1162,2,6e09b6e8a1606e84
GB,ICU,With BoW,0.7509,0.8169,0.4058,0.2863,0.7346,0.412,40.612,0.074,356,0.1162,2,6e09b6e8a1606e84
KNN,ICU,With BoW,0.8762,0.5799,0.1507,0.3077,0.0339,0.061,0.062,6.75,356,0.1162,2,6e09b6e8a1606e84
LR,ICU,With BoW,0.7568,0.7758,0.384,0.2793,0.6628,0.393,1.825,0.033,356,0.1162,3,6e09b6e8a1606e84
RF,ICU,With BoW,0.8814,0.7954,0.3622,0.6,0.006,0.0118,5.126,0.136,356,0.1162,3,6e09b6e8a1606e84
GB,ICU,With BoW,0.7509,0.8169,0.4058,0.2863,0.7346,0.412,42.282,0.061,356,0.1162,3,6e09b6e8a1606e84
KNN,ICU,With BoW,0.8762,0.5799,0.1507,0.3077,0.0339,0.061,0.063,8.504,356,0.1162,3,6e09b6e8a1606e84
LR,ICU,With BoW,0.7568,0.7758,0.384,0.2793,0.6628,0.393,2.21,0.035,356,0.1162,4,6e09b6e8a1606e84
RF,ICU,With BoW,0.8813,0.7928,0.3571,0.5333,0.004,0.0079,5.597,0.135,356,0.1162,4,6e09b6e8a1606e84
GB,ICU,With BoW,0.7509,0.8169,0.4058,0.2863,0.7346,0.412,43.129,0.082,356,0.1162,4,6e09b6e8a1606e84
KNN,ICU,With BoW,0.8762,0.5799,0.1507,0.3077,0.0339,0.061,0.06,7.862,356,0.1162,4,6e09b6e8a1606e84
LR,SW,No Process,0.7783,0.7634,0.2705,0.24,0.6253,0.3469,0.118,0.004,59,0.0953,42,0f50fb19f263c430
RF,SW,No Process,0.9079,0.7525,0.3225,0.5745,0.0854,0.1487,1.792,0.102,59,0.0953,42,0f50fb19f263c430
GB,SW,No Process,0.7831,0.7704,0.3076,0.2484,0.6435,0.3584,9.116,0.017,59,0.0953,42,0f50fb19f263c430
KNN,SW,No Process,0.8993,0.6408,0.1687,0.365,0.0941,0.1496,0.008,1.245,59,0.0953,42,0f50fb19f263c430
LR,SW,No Process,0.7783,0.7634,0.2705,0.24,0.6253,0.3469,0.119,0.005,59,0.0953,1,0f50fb19f263c430
RF,SW,No Process,0.9076,0.7559,0.3196,0.5642,0.0798,0.1399,1.875,0.074,59,0.0953,1,0f50fb19f263c430
GB,SW,No Process,0.7832,0.7705,0.3077,0.2486,0.6443,0.3588,9.373,0.02,59,0.0953,1,0f50fb19f263c430
KNN,SW,No Process,0.8993,0.6408,0.1687,0.365,0.0941,0.1496,0.008,1.34,59,0.0953,1,0f50fb19f263c430
LR,SW,No Process,0.7783,0.7634,0.2705,0.24,0.6253,0.3469,0.123,0.004,59,0.0953,2,0f50fb19f263c430
RF,SW,No Process,0.9068,0.7525,0.3153,0.5337,0.0751,0.1317,1.844,0.142,59,0.0953,2,0f50fb19f263c430
GB,SW,No Process,0.7831,0.7704,0.3077,0.2484,0.6435,0.3584,8.863,0.017,59,0.0953,2,0f50fb19f263c430
KNN,SW,No Process,0.8993,0.6408,0.1687,0.365,0.0941,0.1496,0.008,1.238,59,0.0953,2,0f50fb19f263c430
LR,SW,No Process,0.7783,0.7634,0.2705,0.24,0.6253,0.3469,0.111,0.004,59,0.0953,3,0f50fb19f263c430
RF,SW,No Process,0.907,0.7507,0.3152,0.544,0.0783,0.1368,1.833,0.07,59,0.0953,3,0f50fb19f263c430
