Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Train_Time_s,Test_Time_s,n_features,pos_rate,Seed,split_id
GB,ICU,With BoW,0.7534,0.8117,0.458,0.3268,0.7185,0.4492,36.56,0.066,356,0.1345,1,14d2082d80407129
KNN,ICU,With BoW,0.8533,0.5836,0.1823,0.3486,0.0554,0.0956,0.042,6.227,356,0.1345,1,14d2082d80407129
LR,ICU,With BoW,0.7515,0.7722,0.4363,0.3142,0.6558,0.4249,1.719,0.02,356,0.1345,2,14d2082d80407129
RF,ICU,With BoW,0.8621,0.7936,0.4058,0.6372,0.035,0.0664,4.535,0.135,356,0.1345,2,14d2082d80407129
GB,ICU,With BoW,0.7534,0.8117,0.458,0.3268,0.7185,0.4492,33.797,0.048,356,0.1345,2,14d2082d80407129
KNN,ICU,With BoW,0.8533,0.5836,0.1823,0.3486,0.0554,0.0956,0.036,4.804,356,0.1345,2,14d2082d80407129
LR,ICU,With BoW,0.7515,0.7722,0.4363,0.3142,0.6558,0.4249,1.556,0.021,356,0.1345,3,14d2082d80407129
RF,ICU,With BoW,0.8633,0.793,0.4114,0.7025,0.0413,0.0781,3.786,0.092,356,0.1345,3,14d2082d80407129
GB,ICU,With BoW,0.7534,0.8117,0.458,0.3268,0.7185,0.4492,33.442,0.046,356,0.1345,3,14d2082d80407129
KNN,ICU,With BoW,0.8533,0.5836,0.1823,0.3486,0.0554,0.0956,0.035,4.928,356,0.1345,3,14d2082d80407129
LR,ICU,With BoW,0.7515,0.7722,0.4363,0.3142,0.6558,0.4249,1.619,0.025,356,0.1345,4,14d2082d80407129
RF,ICU,With BoW,0.8629,0.7965,0.4142,0.6937,0.0374,0.071,3.81,0.101,356,0.1345,4,14d2082d80407129
GB,ICU,With BoW,0.7534,0.8117,0.458,0.3268,0.7185,0.4492,33.406,0.046,356,0.1345,4,14d2082d80407129
KNN,ICU,With BoW,0.8533,0.5836,0.1823,0.3486,0.0554,0.0956,0.036,4.83,356,0.1345,4,14d2082d80407129
LR,SW,No Process,0.7314,0.7947,0.7746,0.7159,0.6915,0.7035,0.023,0.001,59,0.4548,42,476006eb47fe7cf9
RF,SW,No Process,0.7475,0.8041,0.8057,0.7763,0.6349,0.6985,0.377,0.025,59,0.4548,42,476006eb47fe7cf9
GB,SW,No Process,0.7361,0.8016,0.8044,0.7345,0.669,0.7002,1.841,0.004,59,0.4548,42,476006eb47fe7cf9
KNN,SW,No Process,0.6618,0.7091,0.6594,0.6416,0.6023,0.6214,0.002,0.058,59,0.4548,42,476006eb47fe7cf9
LR,SW,No Process,0.7314,0.7947,0.7746,0.7159,0.6915,0.7035,0.034,0.001,59,0.4548,1,476006eb47fe7cf9
RF,SW,No Process,0.7468,0.8034,0.8057,0.7845,0.6209,0.6932,0.382,0.025,59,0.4548,1,476006eb47fe7cf9
