Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Train_Time_s,Test_Time_s,n_features,pos_rate,Seed,split_id
LR,ICU,With BoW,0.7666,0.7909,0.5166,0.3573,0.6754,0.4673,1.215,0.027,356,0.149,1,6e09b6e8a1606e84
RF,ICU,With BoW,0.8572,0.8202,0.49,0.738,0.0901,0.1606,5.539,0.182,356,0.149,1,6e09b6e8a1606e84
GB,ICU,With BoW,0.7848,0.8419,0.5465,0.3905,0.7468,0.5128,42.122,0.063,356,0.149,1,6e09b6e8a1606e84
KNN,ICU,With BoW,0.8416,0.5881,0.1995,0.3634,0.0597,0.1025,0.061,6.895,356,0.149,1,6e09b6e8a1606e84
LR,ICU,With BoW,0.7666,0.7909,0.5166,0.3573,0.6754,0.4673,1.07,0.027,356,0.149,2,6e09b6e8a1606e84
RF,ICU,With BoW,0.8574,0.8218,0.4817,0.727,0.0956,0.169,4.961,0.148,356,0.149,2,6e09b6e8a1606e84
GB,ICU,With BoW,0.7848,0.8419,0.5465,0.3905,0.7468,0.5128,40.376,0.058,356,0.149,2,6e09b6e8a1606e84
KNN,ICU,With BoW,0.8416,0.5881,0.1995,0.3634,0.0597,0.1025,0.06,6.553,356,0.149,2,6e09b6e8a1606e84
LR,ICU,With BoW,0.7666,0.7909,0.5166,0.3573,0.6754,0.4673,1.057,0.026,356,0.149,3,6e09b6e8a1606e84
RF,ICU,With BoW,0.8565,0.8198,0.4774,0.7331,0.0847,0.1518,4.767,0.112,356,0.149,3,6e09b6e8a1606e84
GB,ICU,With BoW,0.7848,0.8419,0.5465,0.3905,0.7468,0.5128,44.289,0.175,356,0.149,3,6e09b6e8a1606e84
KNN,ICU,With BoW,0.8416,0.5881,0.1995,0.3634,0.0597,0.1025,0.112,8.079,356,0.149,3,6e09b6e8a1606e84
LR,ICU,With BoW,0.7666,0.7909,0.5166,0.3573,0.6754,0.4673,1.097,0.028,356,0.149,4,6e09b6e8a1606e84
RF,ICU,With BoW,0.8555,0.8226,0.4846,0.7055,0.0804,0.1443,5.238,0.173,356,0.149,4,6e09b6e8a1606e84
GB,ICU,With BoW,0.7848,0.8419,0.5465,0.3905,0.7468,0.5128,44.139,0.062,356,0.149,4,6e09b6e8a1606e84
KNN,ICU,With BoW,0.8416,0.5881,0.1995,0.3634,0.0597,0.1025,0.059,7.283,356,0.149,4,6e09b6e8a1606e84
LR,SW,No Process,0.735,0.7064,0.293,0.278,0.5694,0.3736,0.136,0.004,59,0.1429,42,0f50fb19f263c430
RF,SW,No Process,0.8636,0.6984,0.324,0.5611,0.0788,0.1382,1.965,0.078,59,0.1429,42,0f50fb19f263c430
GB,SW,No Process,0.7311,0.7134,0.323,0.275,0.5727,0.3715,8.935,0.018,59,0.1429,42,0f50fb19f263c430
KNN,SW,No Process,0.8494,0.5985,0.194,0.3508,0.1003,0.156,0.009,1.43,59,0.1429,42,0f50fb19f263c430
LR,SW,No Process,0.735,0.7064,0.293,0.278,0.5694,0.3736,0.129,0.004,59,0.1429,1,0f50fb19f263c430
RF,SW,No Process,0.8626,0.6969,0.3211,0.5353,0.0772,0.135,2.188,0.09,59,0.1429,1,0f50fb19f263c430
GB,SW,No Process,0.7312,0.7134,0.3229,0.275,0.5727,0.3716,8.968,0.018,59,0.1429,1,0f50fb19f263c430
KNN,SW,No Process,0.8494,0.5985,0.194,0.3508,0.1003,0.156,0.008,1.33,59,0.1429,1,0f50fb19f263c430
LR,SW,No Process,0.735,0.7064,0.293,0.278,0.5694,0.3736,0.123,0.005,59,0.1429,2,0f50fb19f263c430
