Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-LSTM,SW,Sequence Only,0.4511,0.6216,0.0312,0.0309,0.7565,0.0594,12,6.8,0f50fb19f263c430
CNN-LSTM,SW,Sequence + Tabular,0.7109,0.8426,0.108,0.0645,0.8604,0.12,21,13.1,0f50fb19f263c430
