Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-LSTM,SW,Sequence Only,0.3567,0.5617,0.1053,0.1029,0.7773,0.1817,24,13.4,0f50fb19f263c430
CNN-LSTM,SW,Sequence + Tabular,0.7776,0.8334,0.321,0.2583,0.7587,0.3854,25,15.5,0f50fb19f263c430
