Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-LSTM,SW,Sequence Only,0.3324,0.6196,0.0309,0.0291,0.8701,0.0564,14,7.9,0f50fb19f263c430
CNN-LSTM,SW,Sequence + Tabular,0.7274,0.8401,0.1075,0.0662,0.8312,0.1226,31,19.4,0f50fb19f263c430
