Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-LSTM,ICU,Sequence Only,0.3808,0.5431,0.156,0.1492,0.7278,0.2476,24,14.2,14d2082d80407129
CNN-LSTM,ICU,Sequence + Tabular,0.7635,0.7885,0.4422,0.3272,0.6529,0.436,28,18.9,14d2082d80407129
CNN-LSTM,SW,Sequence Only,0.6846,0.6984,0.6396,0.714,0.5264,0.606,28,3.3,476006eb47fe7cf9
CNN-LSTM,SW,Sequence + Tabular,0.7368,0.8018,0.7978,0.7361,0.6682,0.7005,61,8.1,476006eb47fe7cf9
