Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-LSTM,SW,Sequence Only,0.4286,0.6225,0.0309,0.0305,0.776,0.0586,21,11.8,0f50fb19f263c430
CNN-LSTM,SW,Sequence + Tabular,0.7243,0.8378,0.0949,0.0668,0.8506,0.1239,26,16.2,0f50fb19f263c430
