Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-LSTM,SW,Sequence Only,0.3512,0.554,0.0884,0.0848,0.756,0.1524,25,13.8,0f50fb19f263c430
CNN-LSTM,SW,Sequence + Tabular,0.7493,0.8306,0.2671,0.2042,0.7763,0.3234,31,19.2,0f50fb19f263c430
