Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-LSTM,ICU,Sequence Only,0.3028,0.5308,0.1614,0.1599,0.8459,0.269,20,14.2,6e09b6e8a1606e84
CNN-LSTM,ICU,Sequence + Tabular,0.7865,0.8077,0.5242,0.3827,0.6648,0.4857,22,17.3,6e09b6e8a1606e84
CNN-LSTM,SW,Sequence Only,0.8696,0.6485,0.3335,0.5633,0.2697,0.3648,25,13.6,0f50fb19f263c430
CNN-LSTM,SW,Sequence + Tabular,0.835,0.8786,0.6156,0.4443,0.7523,0.5586,26,16.1,0f50fb19f263c430
