Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-LSTM,SW,Sequence Only,0.3734,0.5626,0.1062,0.1038,0.7619,0.1827,25,14.1,0f50fb19f263c430
CNN-LSTM,SW,Sequence + Tabular,0.795,0.8326,0.3154,0.2727,0.7377,0.3982,33,20.9,0f50fb19f263c430
