Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-LSTM,SW,Sequence Only,0.411,0.5619,0.1057,0.1062,0.7296,0.1854,44,24.3,0f50fb19f263c430
CNN-LSTM,SW,Sequence + Tabular,0.7394,0.8262,0.3022,0.2315,0.7911,0.3581,22,13.8,0f50fb19f263c430
