Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-LSTM,ICU,Sequence Only,0.3354,0.5423,0.1547,0.1504,0.806,0.2535,29,17.2,14d2082d80407129
CNN-LSTM,ICU,Sequence + Tabular,0.7699,0.788,0.4419,0.3323,0.6378,0.437,28,18.9,14d2082d80407129
CNN-LSTM,SW,Sequence Only,0.6843,0.6963,0.6364,0.7256,0.5062,0.5963,17,2.0,476006eb47fe7cf9
CNN-LSTM,SW,Sequence + Tabular,0.7407,0.8067,0.8047,0.7582,0.6419,0.6952,30,4.0,476006eb47fe7cf9
