Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-LSTM,ICU,Sequence Only,0.2052,0.5263,0.1248,0.1247,0.9452,0.2203,13,9.3,6e09b6e8a1606e84
CNN-LSTM,ICU,Sequence + Tabular,0.7398,0.7879,0.3841,0.2689,0.6927,0.3874,30,23.6,6e09b6e8a1606e84
CNN-LSTM,SW,Sequence Only,0.9238,0.6924,0.3502,0.6886,0.3478,0.4622,12,6.7,0f50fb19f263c430
CNN-LSTM,SW,Sequence + Tabular,0.8289,0.8925,0.599,0.3285,0.7826,0.4627,20,12.5,0f50fb19f263c430
