Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN-LSTM,SW,Sequence Only,0.3547,0.5563,0.0888,0.0855,0.7589,0.1536,24,13.4,0f50fb19f263c430
CNN-LSTM,SW,Sequence + Tabular,0.8002,0.827,0.2552,0.2314,0.6847,0.3459,38,23.7,0f50fb19f263c430
