,SW_FN,SW_FP,SW_TN,SW_TP
uhr_count,1.0595611285266457,0.4278728606356968,1.469573115349682,0.20288362512873326
ed_admission,0.9216300940438872,0.60880195599022,0.9173478655767484,0.36148300720906285
pct_abnormal_labs,32.875203761755486,30.928117359413204,32.386902815622165,31.28091658084449
num_medications,35.125391849529784,39.85330073349633,30.309718437783832,46.055612770339856
polypharmacy,0.9749216300940439,1.0,0.9527702089009991,1.0
chronic_disease_count,8.238244514106583,6.156479217603912,8.434150772025431,6.441812564366632
charlson_score,3.072100313479624,1.628361858190709,3.075386012715713,1.5520082389289391
accumulated_duration_hrs,65.99758794845002,74.44632708503124,64.43723029569078,60.417133825380475
icu_duration_hrs,13.598002438174852,22.10368378158109,8.10090599455041,15.642311191211808
sw_duration_hrs,30.333299373040752,29.892024585710406,36.15731607629428,35.033292996910404
num_icu_stays,0.15673981191222572,0.24449877750611246,0.13987284287011809,0.19876416065911431
num_sw_stays,1.0,1.0,1.0,1.0
total_events,2.5454545454545454,2.3447432762836184,2.4704813805631245,1.890834191555098
icd_ch1_infectious,0.5862068965517241,0.45232273838630804,0.5267938237965486,0.23377960865087538
icd_ch2_neoplasms,0.43573667711598746,0.19559902200489,0.5049954586739328,0.12564366632337795
icd_ch3_endocrine,2.269592476489028,1.5036674816625917,2.1435059037238875,1.4696189495365601
icd_ch4_blood,0.7774294670846394,0.6528117359413202,0.8301544050862852,0.5314109165808445
icd_ch5_mental,0.786833855799373,0.7286063569682152,0.8138056312443234,0.544799176107106
icd_ch6_nervous,0.8620689655172413,0.5721271393643031,0.9037238873751136,0.4253347064881565
icd_ch7_circulatory,2.768025078369906,2.256723716381418,2.6911898274296093,3.011328527291452
icd_ch8_respiratory,0.877742946708464,0.8215158924205379,0.8546775658492279,0.6302780638516993
icd_ch9_digestive,1.3949843260188088,1.119804400977995,1.1970935513169845,0.796086508753862
icd_ch10_genitourinary,0.9749216300940439,0.5745721271393643,0.9518619436875567,0.4768280123583934
icd_ch11_pregnancy,0.0,0.06601466992665037,0.005449591280653951,0.042224510813594233
icd_ch12_skin,0.21003134796238246,0.24205378973105135,0.26248864668483196,0.10813594232749743
icd_ch13_musculoskeletal,0.6018808777429467,0.5183374083129584,0.5140781108083561,0.47579814624098865
icd_ch14_congenital,0.03761755485893417,0.034229828850855744,0.02815622161671208,0.07929969104016478
icd_ch15_perinatal,0.0,0.0,0.0,0.0
icd_ch16_symptoms,1.1943573667711598,0.8777506112469438,1.2752043596730245,0.5849639546858908
icd_ch17_injury,0.7931034482758621,1.1662591687041566,0.6494096276112625,1.0792996910401649
icd_ch18_supplementary,3.70846394984326,2.8875305623471883,3.413260672116258,2.822863027806385
