,SW_FN,SW_FP,SW_TN,SW_TP
uhr_count,1.0199600798403194,0.6607629427792916,0.5832343626286619,0.3093841642228739
ed_admission,0.7245508982035929,0.773841961852861,0.6852731591448931,0.4970674486803519
pct_abnormal_labs,31.902075848303394,29.447036784741144,26.694499208234358,30.5291642228739
num_medications,36.44311377245509,28.510899182561307,24.696951702296122,39.145894428152495
polypharmacy,0.9940119760479041,0.997275204359673,0.9873317498020586,0.9978005865102639
chronic_disease_count,6.858283433133733,5.735013623978202,5.209224069675376,6.288123167155425
charlson_score,2.093812375249501,1.654632152588556,1.5096001583531276,1.7104105571847508
accumulated_duration_hrs,114.77866045686405,30.98480812897366,111.30177776128266,33.103338424568264
icu_duration_hrs,28.7087286538035,9.850386012715713,15.554830870062462,6.924752973281199
sw_duration_hrs,60.88295741849634,8.878694557977596,75.29198760666841,18.498034783317042
num_icu_stays,0.40119760479041916,0.1614441416893733,0.2579176563737134,0.12096774193548387
num_sw_stays,1.0,1.0,1.0,1.0
total_events,2.9121756487025947,2.273841961852861,2.6229216152019004,1.9098240469208212
icd_ch1_infectious,0.4091816367265469,0.32833787465940056,0.20031670625494855,0.2866568914956012
icd_ch2_neoplasms,0.2894211576846307,0.21730245231607628,0.2254552652414885,0.19501466275659823
icd_ch3_endocrine,1.69061876247505,1.3985013623978202,1.2341646872525733,1.5
icd_ch4_blood,0.6427145708582834,0.4877384196185286,0.3591646872525732,0.4875366568914956
icd_ch5_mental,0.7684630738522954,0.6859673024523161,0.5846199524940617,0.592375366568915
icd_ch6_nervous,0.6027944111776448,0.5572207084468664,0.4588281868566904,0.4706744868035191
icd_ch7_circulatory,2.3253493013972055,1.8658038147138964,1.6105502771179732,2.594574780058651
icd_ch8_respiratory,0.6966067864271457,0.6192098092643051,0.39073634204275537,0.6011730205278593
icd_ch9_digestive,1.2854291417165669,0.9318801089918256,0.8363024544734758,0.8819648093841642
icd_ch10_genitourinary,0.7225548902195609,0.5381471389645777,0.433590657165479,0.5373900293255132
icd_ch11_pregnancy,0.01996007984031936,0.03201634877384196,0.02494061757719715,0.016129032258064516
icd_ch12_skin,0.22554890219560877,0.19686648501362397,0.12678147268408552,0.15249266862170088
icd_ch13_musculoskeletal,0.5868263473053892,0.5415531335149864,0.5714568487727633,0.5
icd_ch14_congenital,0.06786427145708583,0.03337874659400545,0.033847980997624705,0.06085043988269795
icd_ch15_perinatal,0.0,0.0,0.0,0.0
icd_ch16_symptoms,0.908183632734531,0.7826975476839237,0.5750197941409343,0.6114369501466276
icd_ch17_injury,1.0199600798403194,1.002724795640327,0.8154196357878069,0.9618768328445748
icd_ch18_supplementary,3.027944111776447,2.705040871934605,2.401425178147268,2.7947214076246336
