,ICU_FN,ICU_FP,ICU_TN,ICU_TP
uhr_count,1.0019029495718363,1.1672771672771673,0.9426861911509998,1.097883597883598
ed_admission,0.6945765937202664,0.7588522588522588,0.6500551094315856,0.6891534391534392
pct_abnormal_labs,34.96141769743102,39.50867521367521,34.255375531412376,40.76331349206349
num_medications,43.64509990485252,52.24969474969475,36.27050858132578,66.53439153439153
polypharmacy,0.9914367269267365,1.0,0.9924421350968351,1.0
chronic_disease_count,8.441484300666032,9.981684981684982,7.878837978271139,10.519179894179894
charlson_score,2.929590865842055,3.43040293040293,2.6581640686506063,3.695767195767196
accumulated_duration_hrs,98.91535838883604,84.74512650929319,90.87315016007979,79.95320693709583
icu_duration_hrs,68.11825800824612,43.63132529507529,62.79859702758971,45.913459729570846
sw_duration_hrs,3.9224878422666247,1.9676899335232667,3.465984184467888,2.640699221046443
num_icu_stays,1.0,1.0,1.0,1.0
num_sw_stays,0.09705042816365367,0.042735042735042736,0.08478979688238072,0.05423280423280423
total_events,2.501427212178877,2.3956043956043955,2.4442607463391592,2.378306878306878
icd_ch1_infectious,0.48525214081826834,0.8284493284493285,0.40930562116202174,0.9794973544973545
icd_ch2_neoplasms,0.4548049476688868,0.3516483516483517,0.317351598173516,0.36044973544973546
icd_ch3_endocrine,2.11988582302569,2.904151404151404,1.9404818138875768,3.064814814814815
icd_ch4_blood,0.8667935299714558,1.2454212454212454,0.7731065973862384,1.417989417989418
icd_ch5_mental,0.7792578496669839,0.960927960927961,0.7987718469532357,0.91005291005291
icd_ch6_nervous,0.9124643196955281,0.996947496947497,0.7853881278538812,1.0191798941798942
icd_ch7_circulatory,3.3977164605137964,3.703907203907204,3.0610140135411745,4.2407407407407405
icd_ch8_respiratory,1.1912464319695528,1.6452991452991452,0.9196976854038734,2.0343915343915344
icd_ch9_digestive,1.1056137012369172,1.5286935286935286,0.9486695008660053,1.8432539682539681
icd_ch10_genitourinary,0.8810656517602283,1.1984126984126984,0.7915288930877027,1.2876984126984128
icd_ch11_pregnancy,0.05423406279733587,0.03724053724053724,0.03802550779404818,0.04563492063492063
icd_ch12_skin,0.2017126546146527,0.31196581196581197,0.1702094158400252,0.3630952380952381
icd_ch13_musculoskeletal,0.43101807802093245,0.48534798534798534,0.40946307668083765,0.5033068783068783
icd_ch14_congenital,0.0532825880114177,0.029914529914529916,0.04487482286254133,0.04431216931216931
icd_ch15_perinatal,0.0,0.0,0.0,0.0006613756613756613
icd_ch16_symptoms,1.3330161750713605,1.7442002442002442,1.1192725555030705,1.8617724867724867
icd_ch17_injury,0.9895337773549001,1.1147741147741148,0.7734215084238703,1.2050264550264551
icd_ch18_supplementary,3.2045670789724072,3.871794871794872,3.0446386395843175,4.174603174603175
