,ICU_FN,ICU_FP,ICU_TN,ICU_TP
uhr_count,0.9647532729103726,0.9833910034602076,0.9382594710507506,1.0206766917293233
ed_admission,0.6777442094662638,0.7633217993079585,0.6366154395997141,0.7161654135338346
pct_abnormal_labs,34.9951863041289,40.07982006920415,33.54906987133667,41.67970864661654
num_medications,43.44108761329305,57.469204152249134,36.9451393852752,68.73778195488721
polypharmacy,0.9889224572004028,0.9993079584775086,0.9960686204431737,0.9990601503759399
chronic_disease_count,8.667673716012084,10.38961937716263,7.791904932094353,11.093045112781954
charlson_score,2.8429003021148036,3.586159169550173,2.5673695496783417,3.763157894736842
accumulated_duration_hrs,90.788710417366,109.94790119184928,79.67089553053768,108.00702485380116
icu_duration_hrs,54.709515217634554,59.58302902729719,53.27156490747359,59.74107978279031
sw_duration_hrs,4.711919547946739,1.6923594771241828,3.4210750734651736,1.7412857664995822
num_icu_stays,1.0,1.0,1.0,1.0
num_sw_stays,0.1067472306143001,0.03806228373702422,0.08917083631165118,0.041353383458646614
total_events,2.5558912386706947,2.411764705882353,2.459882058613295,2.3919172932330826
icd_ch1_infectious,0.4380664652567976,0.9003460207612457,0.37902072909220874,1.0535714285714286
icd_ch2_neoplasms,0.41289023162134947,0.36262975778546713,0.30110793423874194,0.3806390977443609
icd_ch3_endocrine,2.1007049345417927,3.1280276816608996,1.9236061472480344,3.279135338345865
icd_ch4_blood,0.945619335347432,1.3301038062283737,0.7571479628305933,1.4323308270676691
icd_ch5_mental,0.81067472306143,0.9217993079584775,0.8130807719799857,0.9135338345864662
icd_ch6_nervous,0.9516616314199395,1.0477508650519032,0.7857398141529665,1.0780075187969924
icd_ch7_circulatory,3.4793554884189324,3.9044982698961936,3.033774124374553,4.408834586466165
icd_ch8_respiratory,1.1701913393756294,1.7570934256055364,0.8190671908506075,2.220864661654135
icd_ch9_digestive,1.161127895266868,1.5716262975778548,0.8976947819871337,2.0469924812030076
icd_ch10_genitourinary,0.9335347432024169,1.2920415224913495,0.773409578270193,1.3890977443609023
icd_ch11_pregnancy,0.038267875125881166,0.01314878892733564,0.03466761972837741,0.013157894736842105
icd_ch12_skin,0.19133937562940584,0.3460207612456747,0.17405289492494638,0.3956766917293233
icd_ch13_musculoskeletal,0.499496475327291,0.5494809688581315,0.4243209435310936,0.5197368421052632
icd_ch14_congenital,0.06243705941591138,0.033910034602076124,0.04726590421729807,0.05263157894736842
icd_ch15_perinatal,0.0,0.0,8.934953538241601e-05,0.0
icd_ch16_symptoms,1.3977844914400805,1.8519031141868512,1.0934596140100072,1.9445488721804511
icd_ch17_injury,1.040281973816717,1.1771626297577855,0.7700142959256612,1.2612781954887218
icd_ch18_supplementary,3.308157099697885,4.02076124567474,3.0207290922087204,4.321428571428571
