,SW_FN,SW_FP,SW_TN,SW_TP
uhr_count,0.7590132827324478,0.376158940397351,0.6120697205920995,0.16802168021680217
ed_admission,0.7495256166982922,0.6701986754966888,0.6993080494000176,0.2926829268292683
pct_abnormal_labs,31.68929791271347,30.09927152317881,26.95642462993781,31.690352303523035
num_medications,36.91271347248577,31.46092715231788,24.984584391696593,46.86991869918699
polypharmacy,0.9924098671726755,1.0,0.9882631164053605,1.0
chronic_disease_count,6.563567362428842,5.403973509933775,5.2903564859420165,6.9471544715447155
charlson_score,2.0569259962049338,1.4754966887417218,1.5387579924673733,1.7588075880758807
accumulated_duration_hrs,89.61622496310352,21.48832155997057,103.66307988574543,34.909359003312254
icu_duration_hrs,30.079136095298335,1.8186600441501102,15.497504671396456,1.7547560975609755
sw_duration_hrs,40.99715528146742,11.724564753495216,68.12968906017343,28.758320159590482
num_icu_stays,0.3927893738140417,0.03708609271523179,0.2578610843479022,0.04065040650406504
num_sw_stays,1.0,1.0,1.0,1.0
total_events,2.7381404174573056,1.966887417218543,2.614522203731278,1.5257452574525745
icd_ch1_infectious,0.396584440227704,0.28344370860927154,0.2169571691337479,0.27371273712737126
icd_ch2_neoplasms,0.2808349146110057,0.18940397350993377,0.22720504510817202,0.16666666666666666
icd_ch3_endocrine,1.6565464895635673,1.4357615894039735,1.2498905141455723,1.6111111111111112
icd_ch4_blood,0.635673624288425,0.4105960264900662,0.3750547429272138,0.5487804878048781
icd_ch5_mental,0.7571157495256167,0.6039735099337749,0.6035736182885171,0.489159891598916
icd_ch6_nervous,0.5616698292220114,0.4688741721854305,0.47359201191206096,0.462059620596206
icd_ch7_circulatory,2.25426944971537,1.8291390728476822,1.6400980993255672,3.2818428184281845
icd_ch8_respiratory,0.7571157495256167,0.5986754966887418,0.4121923447490584,0.6355013550135501
icd_ch9_digestive,1.28842504743833,0.9324503311258279,0.8520627134974161,0.7506775067750677
icd_ch10_genitourinary,0.7058823529411765,0.4556291390728477,0.4528334939125865,0.5149051490514905
icd_ch11_pregnancy,0.024667931688804556,0.05033112582781457,0.024349654024700008,0.0027100271002710027
icd_ch12_skin,0.19924098671726756,0.15894039735099338,0.13856529736358061,0.11382113821138211
icd_ch13_musculoskeletal,0.573055028462998,0.519205298013245,0.56801261277043,0.4959349593495935
icd_ch14_congenital,0.07210626185958255,0.02119205298013245,0.03459752999912411,0.07994579945799458
icd_ch15_perinatal,0.0,0.0,0.0,0.0
icd_ch16_symptoms,0.8425047438330171,0.6357615894039735,0.6039239730226855,0.5813008130081301
icd_ch17_injury,1.2277039848197344,1.1311258278145695,0.8210563195235175,0.8929539295392954
icd_ch18_supplementary,3.0455407969639468,2.7589403973509934,2.426206534115792,2.948509485094851
