Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN,SW,Sequence Only,0.3358,0.6211,0.031,0.0293,0.8701,0.0567,18,10.0,0f50fb19f263c430
CNN,SW,Sequence + Tabular,0.7313,0.8367,0.0965,0.068,0.8442,0.1259,19,12.1,0f50fb19f263c430
