Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN,SW,Sequence Only,0.3604,0.5646,0.1078,0.1029,0.7725,0.1817,25,13.4,0f50fb19f263c430
CNN,SW,Sequence + Tabular,0.7632,0.8303,0.3148,0.2483,0.7773,0.3763,29,17.5,0f50fb19f263c430
