Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN,ICU,Sequence Only,0.3346,0.5435,0.1576,0.1508,0.8104,0.2543,15,8.8,14d2082d80407129
CNN,ICU,Sequence + Tabular,0.7663,0.7868,0.4356,0.3283,0.6398,0.4339,27,17.8,14d2082d80407129
CNN,SW,Sequence Only,0.6818,0.6939,0.6356,0.703,0.5357,0.608,30,3.5,476006eb47fe7cf9
CNN,SW,Sequence + Tabular,0.7436,0.8074,0.8054,0.7491,0.6667,0.7055,31,4.0,476006eb47fe7cf9
