Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN,SW,Sequence Only,0.3909,0.5622,0.1054,0.1051,0.749,0.1844,18,9.7,0f50fb19f263c430
CNN,SW,Sequence + Tabular,0.8036,0.8242,0.3042,0.2769,0.7053,0.3976,33,19.8,0f50fb19f263c430
