Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN,ICU,Sequence Only,0.3278,0.5332,0.1616,0.1602,0.8092,0.2674,20,13.8,6e09b6e8a1606e84
CNN,ICU,Sequence + Tabular,0.7644,0.813,0.5255,0.3577,0.6957,0.4724,24,18.7,6e09b6e8a1606e84
CNN,SW,Sequence Only,0.8727,0.6472,0.3335,0.5925,0.2643,0.3656,19,10.3,0f50fb19f263c430
CNN,SW,Sequence + Tabular,0.7988,0.8721,0.6034,0.3887,0.7845,0.5198,15,9.3,0f50fb19f263c430
