Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
CNN,SW,Sequence Only,0.3798,0.5554,0.0877,0.0864,0.7348,0.1546,23,12.9,0f50fb19f263c430
CNN,SW,Sequence + Tabular,0.7374,0.8329,0.2703,0.2012,0.8091,0.3223,26,15.7,0f50fb19f263c430
