icd_code,condition,weight
501,chronic_pulmonary_disease,1
502,chronic_pulmonary_disease,1
503,chronic_pulmonary_disease,1
504,chronic_pulmonary_disease,1
505,chronic_pulmonary_disease,1
5064,chronic_pulmonary_disease,1
5081,chronic_pulmonary_disease,1
5088,chronic_pulmonary_disease,1
4465,rheumatologic_disease,1
7100,rheumatologic_disease,1
7101,rheumatologic_disease,1
7102,rheumatologic_disease,1
7103,rheumatologic_disease,1
7104,rheumatologic_disease,1
7108,rheumatologic_disease,1
7109,rheumatologic_disease,1
7140,rheumatologic_disease,1
7141,rheumatologic_disease,1
7142,rheumatologic_disease,1
7148,rheumatologic_disease,1
725,rheumatologic_disease,1
531,peptic_ulcer_disease,1
5310,peptic_ulcer_disease,1
5311,peptic_ulcer_disease,1
5312,peptic_ulcer_disease,1
5313,peptic_ulcer_disease,1
5314,peptic_ulcer_disease,1
5315,peptic_ulcer_disease,1
5316,peptic_ulcer_disease,1
5317,peptic_ulcer_disease,1
5318,peptic_ulcer_disease,1
5319,peptic_ulcer_disease,1
532,peptic_ulcer_disease,1
5320,peptic_ulcer_disease,1
5321,peptic_ulcer_disease,1
5322,peptic_ulcer_disease,1
5323,peptic_ulcer_disease,1
5324,peptic_ulcer_disease,1
5325,peptic_ulcer_disease,1
5326,peptic_ulcer_disease,1
5327,peptic_ulcer_disease,1
5328,peptic_ulcer_disease,1
5329,peptic_ulcer_disease,1
533,peptic_ulcer_disease,1
5330,peptic_ulcer_disease,1
5331,peptic_ulcer_disease,1
5332,peptic_ulcer_disease,1
5333,peptic_ulcer_disease,1
5334,peptic_ulcer_disease,1
5335,peptic_ulcer_disease,1
5336,peptic_ulcer_disease,1
5337,peptic_ulcer_disease,1
5338,peptic_ulcer_disease,1
5339,peptic_ulcer_disease,1
534,peptic_ulcer_disease,1
5340,peptic_ulcer_disease,1
5341,peptic_ulcer_disease,1
5342,peptic_ulcer_disease,1
5343,peptic_ulcer_disease,1
5344,peptic_ulcer_disease,1
5345,peptic_ulcer_disease,1
5346,peptic_ulcer_disease,1
5347,peptic_ulcer_disease,1
5348,peptic_ulcer_disease,1
5349,peptic_ulcer_disease,1
07022,mild_liver_disease,1
07023,mild_liver_disease,1
07032,mild_liver_disease,1
07033,mild_liver_disease,1
07044,mild_liver_disease,1
07054,mild_liver_disease,1
0706,mild_liver_disease,1
0709,mild_liver_disease,1
570,mild_liver_disease,1
571,mild_liver_disease,1
5710,mild_liver_disease,1
5711,mild_liver_disease,1
5712,mild_liver_disease,1
5713,mild_liver_disease,1
5714,mild_liver_disease,1
5715,mild_liver_disease,1
5716,mild_liver_disease,1
5718,mild_liver_disease,1
5719,mild_liver_disease,1
5723,mild_liver_disease,1
5728,mild_liver_disease,1
5733,mild_liver_disease,1
5734,mild_liver_disease,1
5738,mild_liver_disease,1
5739,mild_liver_disease,1
V427,mild_liver_disease,1
2500,diabetes_without_complications,1
2501,diabetes_without_complications,1
2502,diabetes_without_complications,1
2503,diabetes_without_complications,1
2508,diabetes_without_complications,1
2509,diabetes_without_complications,1
2504,diabetes_with_complications,2
2505,diabetes_with_complications,2
2506,diabetes_with_complications,2
2507,diabetes_with_complications,2
3341,hemiplegia_paraplegia,2
3440,hemiplegia_paraplegia,2
3441,hemiplegia_paraplegia,2
3442,hemiplegia_paraplegia,2
3443,hemiplegia_paraplegia,2
3444,hemiplegia_paraplegia,2
3445,hemiplegia_paraplegia,2
3446,hemiplegia_paraplegia,2
3449,hemiplegia_paraplegia,2
3484,hemiplegia_paraplegia,2
3490,hemiplegia_paraplegia,2
3491,hemiplegia_paraplegia,2
3492,hemiplegia_paraplegia,2
3498,hemiplegia_paraplegia,2
3499,hemiplegia_paraplegia,2
40301,renal_disease,2
40311,renal_disease,2
40391,renal_disease,2
40402,renal_disease,2
40403,renal_disease,2
40412,renal_disease,2
40413,renal_disease,2
40492,renal_disease,2
40493,renal_disease,2
582,renal_disease,2
5820,renal_disease,2
5821,renal_disease,2
5822,renal_disease,2
5823,renal_disease,2
5824,renal_disease,2
5825,renal_disease,2
5826,renal_disease,2
5827,renal_disease,2
5828,renal_disease,2
5829,renal_disease,2
5830,renal_disease,2
5831,renal_disease,2
5832,renal_disease,2
5833,renal_disease,2
5834,renal_disease,2
5835,renal_disease,2
5836,renal_disease,2
5837,renal_disease,2
5838,renal_disease,2
5839,renal_disease,2
585,renal_disease,2
5850,renal_disease,2
5851,renal_disease,2
5852,renal_disease,2
5853,renal_disease,2
5854,renal_disease,2
5855,renal_disease,2
5856,renal_disease,2
5859,renal_disease,2
586,renal_disease,2
5880,renal_disease,2
V420,renal_disease,2
V451,renal_disease,2
V56,renal_disease,2
V560,renal_disease,2
V561,renal_disease,2
V562,renal_disease,2
V563,renal_disease,2
V564,renal_disease,2
V568,renal_disease,2
V569,renal_disease,2
140,malignancy,2
141,malignancy,2
142,malignancy,2
143,malignancy,2
144,malignancy,2
145,malignancy,2
146,malignancy,2
147,malignancy,2
148,malignancy,2
149,malignancy,2
150,malignancy,2
151,malignancy,2
152,malignancy,2
153,malignancy,2
154,malignancy,2
155,malignancy,2
156,malignancy,2
157,malignancy,2
158,malignancy,2
159,malignancy,2
160,malignancy,2
161,malignancy,2
162,malignancy,2
163,malignancy,2
164,malignancy,2
165,malignancy,2
170,malignancy,2
171,malignancy,2
172,malignancy,2
174,malignancy,2
175,malignancy,2
176,malignancy,2
179,malignancy,2
180,malignancy,2
181,malignancy,2
182,malignancy,2
183,malignancy,2
184,malignancy,2
185,malignancy,2
186,malignancy,2
187,malignancy,2
188,malignancy,2
189,malignancy,2
190,malignancy,2
191,malignancy,2
192,malignancy,2
193,malignancy,2
194,malignancy,2
195,malignancy,2
200,malignancy,2
201,malignancy,2
202,malignancy,2
203,malignancy,2
204,malignancy,2
205,malignancy,2
206,malignancy,2
207,malignancy,2
208,malignancy,2
2386,malignancy,2
2733,malignancy,2
4560,moderate_severe_liver_disease,2
4561,moderate_severe_liver_disease,2
4562,moderate_severe_liver_disease,2
5722,moderate_severe_liver_disease,2
5723,moderate_severe_liver_disease,2
5724,moderate_severe_liver_disease,2
5725,moderate_severe_liver_disease,2
5726,moderate_severe_liver_disease,2
5727,moderate_severe_liver_disease,2
5728,moderate_severe_liver_disease,2
196,metastatic_solid_tumour,3
1960,metastatic_solid_tumour,3
1961,metastatic_solid_tumour,3
1962,metastatic_solid_tumour,3
1963,metastatic_solid_tumour,3
1965,metastatic_solid_tumour,3
1966,metastatic_solid_tumour,3
1968,metastatic_solid_tumour,3
1969,metastatic_solid_tumour,3
197,metastatic_solid_tumour,3
1970,metastatic_solid_tumour,3
1971,metastatic_solid_tumour,3
1972,metastatic_solid_tumour,3
1973,metastatic_solid_tumour,3
1974,metastatic_solid_tumour,3
1975,metastatic_solid_tumour,3
1976,metastatic_solid_tumour,3
1977,metastatic_solid_tumour,3
1978,metastatic_solid_tumour,3
198,metastatic_solid_tumour,3
1980,metastatic_solid_tumour,3
1981,metastatic_solid_tumour,3
1982,metastatic_solid_tumour,3
1983,metastatic_solid_tumour,3
1984,metastatic_solid_tumour,3
1985,metastatic_solid_tumour,3
1986,metastatic_solid_tumour,3
1987,metastatic_solid_tumour,3
1988,metastatic_solid_tumour,3
1989,metastatic_solid_tumour,3
1991,metastatic_solid_tumour,3
1992,metastatic_solid_tumour,3
042,aids_hiv,6
0420,aids_hiv,6
0421,aids_hiv,6
0422,aids_hiv,6
0423,aids_hiv,6
0424,aids_hiv,6
0425,aids_hiv,6
0426,aids_hiv,6
0427,aids_hiv,6
0428,aids_hiv,6
0429,aids_hiv,6
