icd_code,condition,weight
410,myocardial_infarction,1
4100,myocardial_infarction,1
4101,myocardial_infarction,1
4102,myocardial_infarction,1
4103,myocardial_infarction,1
4104,myocardial_infarction,1
4105,myocardial_infarction,1
4106,myocardial_infarction,1
4107,myocardial_infarction,1
4108,myocardial_infarction,1
4109,myocardial_infarction,1
412,myocardial_infarction,1
39891,congestive_heart_failure,1
40201,congestive_heart_failure,1
40211,congestive_heart_failure,1
40291,congestive_heart_failure,1
40401,congestive_heart_failure,1
40403,congestive_heart_failure,1
40411,congestive_heart_failure,1
40413,congestive_heart_failure,1
40491,congestive_heart_failure,1
40493,congestive_heart_failure,1
4254,congestive_heart_failure,1
4255,congestive_heart_failure,1
4257,congestive_heart_failure,1
4258,congestive_heart_failure,1
4259,congestive_heart_failure,1
428,congestive_heart_failure,1
4280,congestive_heart_failure,1
4281,congestive_heart_failure,1
4289,congestive_heart_failure,1
0930,peripheral_vascular_disease,1
4373,peripheral_vascular_disease,1
440,peripheral_vascular_disease,1
4400,peripheral_vascular_disease,1
4401,peripheral_vascular_disease,1
4402,peripheral_vascular_disease,1
4403,peripheral_vascular_disease,1
4404,peripheral_vascular_disease,1
4405,peripheral_vascular_disease,1
4406,peripheral_vascular_disease,1
4407,peripheral_vascular_disease,1
4408,peripheral_vascular_disease,1
4409,peripheral_vascular_disease,1
4412,peripheral_vascular_disease,1
4414,peripheral_vascular_disease,1
4417,peripheral_vascular_disease,1
4418,peripheral_vascular_disease,1
4419,peripheral_vascular_disease,1
4431,peripheral_vascular_disease,1
4432,peripheral_vascular_disease,1
4433,peripheral_vascular_disease,1
4434,peripheral_vascular_disease,1
4435,peripheral_vascular_disease,1
4436,peripheral_vascular_disease,1
4437,peripheral_vascular_disease,1
4438,peripheral_vascular_disease,1
4439,peripheral_vascular_disease,1
4471,peripheral_vascular_disease,1
5571,peripheral_vascular_disease,1
5579,peripheral_vascular_disease,1
V434,peripheral_vascular_disease,1
36234,cerebrovascular_disease,1
430,cerebrovascular_disease,1
431,cerebrovascular_disease,1
4320,cerebrovascular_disease,1
4321,cerebrovascular_disease,1
4329,cerebrovascular_disease,1
4330,cerebrovascular_disease,1
4331,cerebrovascular_disease,1
4332,cerebrovascular_disease,1
4333,cerebrovascular_disease,1
4339,cerebrovascular_disease,1
4340,cerebrovascular_disease,1
4341,cerebrovascular_disease,1
4349,cerebrovascular_disease,1
43490,cerebrovascular_disease,1
43491,cerebrovascular_disease,1
43500,cerebrovascular_disease,1
43501,cerebrovascular_disease,1
43510,cerebrovascular_disease,1
43511,cerebrovascular_disease,1
43519,cerebrovascular_disease,1
4352,cerebrovascular_disease,1
4353,cerebrovascular_disease,1
4358,cerebrovascular_disease,1
4359,cerebrovascular_disease,1
436,cerebrovascular_disease,1
437,cerebrovascular_disease,1
4370,cerebrovascular_disease,1
4371,cerebrovascular_disease,1
4372,cerebrovascular_disease,1
4373,cerebrovascular_disease,1
4374,cerebrovascular_disease,1
4375,cerebrovascular_disease,1
4376,cerebrovascular_disease,1
4377,cerebrovascular_disease,1
4378,cerebrovascular_disease,1
4379,cerebrovascular_disease,1
438,cerebrovascular_disease,1
4380,cerebrovascular_disease,1
4381,cerebrovascular_disease,1
4382,cerebrovascular_disease,1
4383,cerebrovascular_disease,1
4384,cerebrovascular_disease,1
4385,cerebrovascular_disease,1
4386,cerebrovascular_disease,1
4387,cerebrovascular_disease,1
4388,cerebrovascular_disease,1
4389,cerebrovascular_disease,1
290,dementia,1
2900,dementia,1
2901,dementia,1
2902,dementia,1
2903,dementia,1
2904,dementia,1
2905,dementia,1
2906,dementia,1
2907,dementia,1
2908,dementia,1
2909,dementia,1
2941,dementia,1
3312,dementia,1
4168,chronic_pulmonary_disease,1
4169,chronic_pulmonary_disease,1
490,chronic_pulmonary_disease,1
491,chronic_pulmonary_disease,1
4910,chronic_pulmonary_disease,1
4911,chronic_pulmonary_disease,1
4912,chronic_pulmonary_disease,1
4918,chronic_pulmonary_disease,1
4919,chronic_pulmonary_disease,1
492,chronic_pulmonary_disease,1
4920,chronic_pulmonary_disease,1
4928,chronic_pulmonary_disease,1
493,chronic_pulmonary_disease,1
4930,chronic_pulmonary_disease,1
4931,chronic_pulmonary_disease,1
4932,chronic_pulmonary_disease,1
4938,chronic_pulmonary_disease,1
4939,chronic_pulmonary_disease,1
494,chronic_pulmonary_disease,1
4940,chronic_pulmonary_disease,1
4941,chronic_pulmonary_disease,1
495,chronic_pulmonary_disease,1
4950,chronic_pulmonary_disease,1
4951,chronic_pulmonary_disease,1
4952,chronic_pulmonary_disease,1
4953,chronic_pulmonary_disease,1
4954,chronic_pulmonary_disease,1
4955,chronic_pulmonary_disease,1
4956,chronic_pulmonary_disease,1
4957,chronic_pulmonary_disease,1
4958,chronic_pulmonary_disease,1
4959,chronic_pulmonary_disease,1
496,chronic_pulmonary_disease,1
500,chronic_pulmonary_disease,1
