Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
RNN,ICU,Sequence Only,0.3324,0.5431,0.158,0.1507,0.8128,0.2542,18,18.1,14d2082d80407129
RNN,ICU,Sequence + Tabular,0.7589,0.7878,0.4397,0.3225,0.6558,0.4324,19,20.5,14d2082d80407129
RNN,SW,Sequence Only,0.6832,0.6981,0.638,0.7058,0.5357,0.6091,26,5.1,476006eb47fe7cf9
RNN,SW,Sequence + Tabular,0.7364,0.808,0.8073,0.7184,0.7039,0.711,38,8.0,476006eb47fe7cf9
