Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
RNN,SW,Sequence Only,0.3313,0.6217,0.031,0.0291,0.8701,0.0563,33,31.3,0f50fb19f263c430
RNN,SW,Sequence + Tabular,0.7991,0.8409,0.1062,0.083,0.7727,0.1499,28,29.0,0f50fb19f263c430
