Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
RNN,SW,Sequence Only,0.3835,0.5648,0.1061,0.1045,0.7538,0.1835,20,18.9,0f50fb19f263c430
RNN,SW,Sequence + Tabular,0.8187,0.8289,0.3148,0.2877,0.6591,0.4006,34,34.3,0f50fb19f263c430
