Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
RNN,SW,Sequence Only,0.3612,0.5576,0.0892,0.0856,0.7522,0.1538,45,41.0,0f50fb19f263c430
RNN,SW,Sequence + Tabular,0.7945,0.8299,0.2603,0.2335,0.7281,0.3535,34,33.6,0f50fb19f263c430
