Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
BiLSTM,ICU,Sequence Only,0.3334,0.5518,0.1608,0.1509,0.8128,0.2545,32,35.7,14d2082d80407129
BiLSTM,ICU,Sequence + Tabular,0.7685,0.7898,0.4392,0.3326,0.6495,0.4399,22,26.4,14d2082d80407129
BiLSTM,SW,Sequence Only,0.6843,0.698,0.6383,0.7128,0.5271,0.6061,34,7.5,476006eb47fe7cf9
BiLSTM,SW,Sequence + Tabular,0.7382,0.8067,0.8044,0.7334,0.6783,0.7048,33,7.7,476006eb47fe7cf9
