Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
BiLSTM,ICU,Sequence Only,0.7002,0.5396,0.1654,0.1705,0.2528,0.2037,30,38.8,6e09b6e8a1606e84
BiLSTM,ICU,Sequence + Tabular,0.8115,0.8122,0.5267,0.4181,0.6204,0.4995,25,34.8,6e09b6e8a1606e84
BiLSTM,SW,Sequence Only,0.8835,0.6461,0.3308,0.7377,0.2488,0.3721,21,21.4,0f50fb19f263c430
BiLSTM,SW,Sequence + Tabular,0.8367,0.8802,0.6148,0.4468,0.7416,0.5577,26,28.8,0f50fb19f263c430
