Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
BiLSTM,SW,Sequence Only,0.3635,0.5535,0.0872,0.0855,0.7473,0.1534,32,32.6,0f50fb19f263c430
BiLSTM,SW,Sequence + Tabular,0.8256,0.8316,0.2654,0.2511,0.6355,0.36,30,32.9,0f50fb19f263c430
