Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
BiLSTM,SW,Sequence Only,0.3338,0.6184,0.0308,0.0292,0.8701,0.0565,13,13.7,0f50fb19f263c430
BiLSTM,SW,Sequence + Tabular,0.7341,0.841,0.1015,0.0675,0.8279,0.1249,23,25.8,0f50fb19f263c430
