Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
BiLSTM,SW,Sequence Only,0.42,0.6146,0.0308,0.03,0.776,0.0578,30,30.7,0f50fb19f263c430
BiLSTM,SW,Sequence + Tabular,0.6971,0.8462,0.1086,0.063,0.8799,0.1175,21,22.8,0f50fb19f263c430
