,,,,AUROC,AUROC,AUROC,AUPRC,AUPRC,AUPRC,F1,F1,F1
,,,,mean,std,count,mean,std,count,mean,std,count
Model,Cohort,Condition,Variant,,,,,,,,,
RNN,SW,Sequence + Tabular,collapse,0.8425,0.0031,5,0.1062,0.0022,5,0.136,0.0169,5
RNN,SW,Sequence + Tabular,corr,0.8282,0.0032,5,0.2621,0.0061,5,0.3486,0.013,5
RNN,SW,Sequence + Tabular,corrpacu,0.8305,0.0024,5,0.3157,0.0033,5,0.3904,0.0123,5
RNN,SW,Sequence + Tabular,lat,0.8925,0.0012,5,0.6059,0.0019,5,0.4819,0.0135,5
RNN,SW,Sequence + Tabular,old,0.8788,0.0006,5,0.6171,0.003,5,0.5507,0.0089,5
RNN,SW,Sequence + Tabular,restricted,0.8071,0.0007,5,0.8053,0.0021,5,0.7051,0.0061,5
RNN,SW,Sequence Only,collapse,0.6215,0.0042,5,0.0313,0.0006,5,0.0575,0.0016,5
RNN,SW,Sequence Only,corr,0.5538,0.0028,5,0.0879,0.0009,5,0.1539,0.0017,5
RNN,SW,Sequence Only,corrpacu,0.5631,0.0016,5,0.1061,0.0009,5,0.1829,0.0018,5
RNN,SW,Sequence Only,lat,0.6934,0.0019,5,0.358,0.0018,5,0.4485,0.0175,5
RNN,SW,Sequence Only,old,0.6464,0.0011,5,0.3327,0.002,5,0.3663,0.0027,5
RNN,SW,Sequence Only,restricted,0.6958,0.0021,5,0.6354,0.0032,5,0.6052,0.0025,5
