,,,,AUROC,AUROC,AUROC,AUPRC,AUPRC,AUPRC,F1,F1,F1
,,,,mean,std,count,mean,std,count,mean,std,count
Model,Cohort,Condition,Variant,,,,,,,,,
CNN,SW,Sequence + Tabular,restricted,0.8063,0.0012,5,0.8035,0.0023,5,0.7072,0.0013,5
CNN,SW,Sequence Only,collapse,0.6227,0.0017,5,0.0312,0.0002,5,0.0579,0.0016,5
CNN,SW,Sequence Only,corr,0.5558,0.0017,5,0.0887,0.0009,5,0.1547,0.0004,5
CNN,SW,Sequence Only,corrpacu,0.5629,0.0016,5,0.1063,0.0012,5,0.1841,0.0014,5
CNN,SW,Sequence Only,lat,0.6918,0.0015,5,0.3571,0.0022,5,0.4335,0.0097,5
CNN,SW,Sequence Only,old,0.6474,0.0004,5,0.3319,0.0012,5,0.3657,0.0016,5
CNN,SW,Sequence Only,restricted,0.6963,0.0024,5,0.6364,0.0009,5,0.6084,0.0023,5
CNN-LSTM,ICU,Sequence + Tabular,lat,0.7871,0.0012,5,0.3839,0.0029,5,0.3916,0.006,5
CNN-LSTM,ICU,Sequence + Tabular,old,0.8095,0.0019,5,0.5256,0.0022,5,0.4863,0.0074,5
CNN-LSTM,ICU,Sequence + Tabular,restricted,0.7875,0.0018,5,0.4398,0.0033,5,0.4319,0.0084,5
CNN-LSTM,ICU,Sequence Only,lat,0.5272,0.0061,5,0.1253,0.0011,5,0.2131,0.0136,5
CNN-LSTM,ICU,Sequence Only,old,0.5306,0.002,5,0.1614,0.001,5,0.2654,0.0032,5
CNN-LSTM,ICU,Sequence Only,restricted,0.5435,0.0009,5,0.1555,0.0011,5,0.2526,0.0028,5
CNN-LSTM,SW,Sequence + Tabular,collapse,0.8418,0.0029,5,0.1044,0.0057,5,0.1277,0.0096,5
CNN-LSTM,SW,Sequence + Tabular,corr,0.8295,0.0018,5,0.2627,0.0048,5,0.3437,0.0117,5
CNN-LSTM,SW,Sequence + Tabular,corrpacu,0.8313,0.0035,5,0.3153,0.009,5,0.3861,0.019,5
CNN-LSTM,SW,Sequence + Tabular,lat,0.8945,0.0019,5,0.6032,0.0046,5,0.4818,0.0174,5
CNN-LSTM,SW,Sequence + Tabular,old,0.8795,0.0013,5,0.615,0.0022,5,0.5577,0.0048,5
CNN-LSTM,SW,Sequence + Tabular,restricted,0.8052,0.002,5,0.8034,0.0032,5,0.6977,0.0045,5
CNN-LSTM,SW,Sequence Only,collapse,0.62,0.0021,5,0.031,0.0002,5,0.0573,0.0016,5
CNN-LSTM,SW,Sequence Only,corr,0.5545,0.002,5,0.0883,0.0007,5,0.1535,0.0009,5
CNN-LSTM,SW,Sequence Only,corrpacu,0.5624,0.0009,5,0.106,0.0006,5,0.1835,0.0017,5
CNN-LSTM,SW,Sequence Only,lat,0.6925,0.0016,5,0.3545,0.0061,5,0.4542,0.0139,5
CNN-LSTM,SW,Sequence Only,old,0.6467,0.0015,5,0.3276,0.0036,5,0.3674,0.0042,5
CNN-LSTM,SW,Sequence Only,restricted,0.6965,0.0012,5,0.6369,0.0019,5,0.6051,0.005,5
CNN-k23,ICU,Sequence + Tabular,lat,0.7858,0.002,5,0.3812,0.0025,5,0.3894,0.0047,5
CNN-k23,ICU,Sequence + Tabular,old,0.8113,0.0017,5,0.5262,0.0026,5,0.4859,0.0055,5
CNN-k23,ICU,Sequence + Tabular,restricted,0.7864,0.0014,5,0.4376,0.0017,5,0.4318,0.0032,5
CNN-k23,ICU,Sequence Only,lat,0.5324,0.0045,5,0.1266,0.0009,5,0.2016,0.0175,5
CNN-k23,ICU,Sequence Only,old,0.537,0.0021,5,0.1632,0.0007,5,0.2554,0.0315,5
CNN-k23,ICU,Sequence Only,restricted,0.5464,0.0039,5,0.1563,0.002,5,0.2533,0.0002,5
CNN-k23,SW,Sequence + Tabular,collapse,0.8377,0.0046,5,0.1116,0.0041,5,0.1252,0.0078,5
CNN-k23,SW,Sequence + Tabular,corr,0.8295,0.0013,5,0.2696,0.0035,5,0.3252,0.0218,5
CNN-k23,SW,Sequence + Tabular,corrpacu,0.8292,0.002,5,0.31,0.0045,5,0.3851,0.0071,5
CNN-k23,SW,Sequence + Tabular,lat,0.8939,0.0006,5,0.6051,0.0034,5,0.4678,0.0049,5
CNN-k23,SW,Sequence + Tabular,old,0.8799,0.0016,5,0.6204,0.0035,5,0.5596,0.0059,5
CNN-k23,SW,Sequence + Tabular,restricted,0.8057,0.0033,5,0.803,0.0036,5,0.7009,0.005,5
CNN-k23,SW,Sequence Only,collapse,0.6204,0.0004,5,0.0313,0.0002,5,0.0577,0.0016,5
CNN-k23,SW,Sequence Only,corr,0.5543,0.0012,5,0.0888,0.0006,5,0.1542,0.0007,5
CNN-k23,SW,Sequence Only,corrpacu,0.5636,0.0007,5,0.1073,0.0011,5,0.1824,0.0012,5
CNN-k23,SW,Sequence Only,lat,0.6915,0.0015,5,0.3577,0.0014,5,0.4343,0.0043,5
CNN-k23,SW,Sequence Only,old,0.6484,0.0017,5,0.3324,0.002,5,0.3669,0.0017,5
CNN-k23,SW,Sequence Only,restricted,0.6975,0.0011,5,0.6392,0.003,5,0.6076,0.0032,5
GB,ICU,No Process,lat,0.747,0.0,5,0.3213,0.0,5,0.3563,0.0,5
GB,ICU,No Process,old,0.7523,0.0,5,0.4167,0.0001,5,0.418,0.0,5
GB,ICU,No Process,restricted,0.7504,0.0,5,0.3948,0.0001,5,0.4021,0.0,5
GB,ICU,With BoW,lat,0.8169,0.0,5,0.4058,0.0,5,0.412,0.0,5
GB,ICU,With BoW,old,0.8419,0.0,5,0.5465,0.0,5,0.5128,0.0,5
GB,ICU,With BoW,restricted,0.8117,0.0,5,0.458,0.0,5,0.4492,0.0,5
GB,ICU,With Process,lat,0.8167,0.0,5,0.4046,0.0001,5,0.4138,0.0,5
GB,ICU,With Process,old,0.8424,0.0,5,0.5481,0.0001,5,0.5128,0.0,5
GB,ICU,With Process,restricted,0.8097,0.0,5,0.4541,0.0,5,0.4533,0.0,5
GB,SW,No Process,collapse,0.5849,0.0,5,0.0404,0.0,5,0.0532,0.0,5
