Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id,Variant,Seed,Test_Time_s,n_features,pos_rate
BiGRU,SW,Sequence + Tabular,0.8716,0.8917,0.5995,0.3965,0.6964,0.5053,23.0,28.2,0f50fb19f263c430,lat,3,,,
BiGRU,ICU,Sequence Only,0.304,0.539,0.1291,0.1268,0.8257,0.2199,36.0,51.2,6e09b6e8a1606e84,lat,4,,,
BiGRU,ICU,Sequence + Tabular,0.7361,0.7876,0.3808,0.2653,0.6902,0.3832,32.0,49.1,6e09b6e8a1606e84,lat,4,,,
BiGRU,SW,Sequence Only,0.9116,0.6905,0.357,0.5452,0.3668,0.4386,19.0,21.5,0f50fb19f263c430,lat,4,,,
BiGRU,SW,Sequence + Tabular,0.8632,0.8933,0.6061,0.3813,0.7273,0.5003,33.0,40.2,0f50fb19f263c430,lat,4,,,
BiGRU,ICU,Sequence Only,0.2846,0.5382,0.128,0.1266,0.8511,0.2204,19.0,27.6,6e09b6e8a1606e84,lat,42,,,
BiGRU,ICU,Sequence + Tabular,0.7283,0.789,0.3846,0.2613,0.7047,0.3812,32.0,49.8,6e09b6e8a1606e84,lat,42,,,
BiGRU,SW,Sequence Only,0.9111,0.6939,0.3613,0.5413,0.3676,0.4379,16.0,18.4,0f50fb19f263c430,lat,42,,,
BiGRU,SW,Sequence + Tabular,0.857,0.8956,0.6115,0.3709,0.7462,0.4955,34.0,41.9,0f50fb19f263c430,lat,42,,,
BiGRU,ICU,Sequence Only,0.6702,0.5319,0.1624,0.1651,0.2895,0.2103,20.0,27.6,6e09b6e8a1606e84,old,1,,,
BiGRU,ICU,Sequence + Tabular,0.7834,0.8083,0.5226,0.3772,0.6582,0.4796,20.0,29.4,6e09b6e8a1606e84,old,1,,,
BiGRU,SW,Sequence Only,0.873,0.6426,0.3204,0.5966,0.2633,0.3653,12.0,13.2,0f50fb19f263c430,old,1,,,
BiGRU,SW,Sequence + Tabular,0.8375,0.8765,0.612,0.4478,0.7308,0.5553,21.0,24.5,0f50fb19f263c430,old,1,,,
BiGRU,ICU,Sequence Only,0.3625,0.5323,0.1631,0.1594,0.7495,0.2628,21.0,28.8,6e09b6e8a1606e84,old,2,,,
BiGRU,ICU,Sequence + Tabular,0.774,0.814,0.5281,0.3674,0.6797,0.477,25.0,36.6,6e09b6e8a1606e84,old,2,,,
BiGRU,SW,Sequence Only,0.8754,0.6426,0.3213,0.6248,0.2563,0.3635,19.0,20.5,0f50fb19f263c430,old,2,,,
BiGRU,SW,Sequence + Tabular,0.8407,0.8788,0.6163,0.4542,0.7319,0.5606,25.0,29.1,0f50fb19f263c430,old,2,,,
BiGRU,ICU,Sequence Only,0.313,0.5373,0.1645,0.1607,0.8361,0.2696,26.0,35.6,6e09b6e8a1606e84,old,3,,,
BiGRU,ICU,Sequence + Tabular,0.7764,0.8092,0.5241,0.3704,0.6789,0.4793,23.0,33.9,6e09b6e8a1606e84,old,3,,,
BiGRU,SW,Sequence Only,0.8736,0.6481,0.3339,0.6005,0.266,0.3686,21.0,22.8,0f50fb19f263c430,old,3,,,
