Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id,Variant,Seed,Test_Time_s,n_features,pos_rate
BiLSTM,SW,Sequence + Tabular,0.7343,0.8054,0.802,0.7177,0.6977,0.7075,26.0,6.1,476006eb47fe7cf9,restricted,4,,,
BiLSTM,ICU,Sequence Only,0.3337,0.5501,0.157,0.1506,0.8104,0.254,27.0,30.8,14d2082d80407129,restricted,42,,,
BiLSTM,ICU,Sequence + Tabular,0.7313,0.7899,0.4394,0.3008,0.6942,0.4197,25.0,30.7,14d2082d80407129,restricted,42,,,
BiLSTM,SW,Sequence Only,0.6854,0.6906,0.6397,0.7255,0.5101,0.599,16.0,3.5,476006eb47fe7cf9,restricted,42,,,
BiLSTM,SW,Sequence + Tabular,0.7404,0.8072,0.8059,0.7525,0.6504,0.6977,35.0,8.4,476006eb47fe7cf9,restricted,42,,,
CNN-k23,SW,Sequence Only,0.3375,0.6202,0.0315,0.0294,0.8701,0.0568,29.0,14.2,0f50fb19f263c430,collapse,1,,,
CNN-k23,SW,Sequence + Tabular,0.7455,0.8326,0.1086,0.068,0.7955,0.1253,19.0,10.9,0f50fb19f263c430,collapse,1,,,
CNN-k23,SW,Sequence Only,0.3397,0.621,0.0314,0.0293,0.8669,0.0568,30.0,14.5,0f50fb19f263c430,collapse,2,,,
CNN-k23,SW,Sequence + Tabular,0.7983,0.833,0.1133,0.0762,0.7013,0.1375,21.0,11.8,0f50fb19f263c430,collapse,2,,,
CNN-k23,SW,Sequence Only,0.3278,0.6201,0.0311,0.029,0.8734,0.0562,24.0,11.7,0f50fb19f263c430,collapse,3,,,
CNN-k23,SW,Sequence + Tabular,0.7288,0.8399,0.1088,0.067,0.8377,0.124,26.0,14.6,0f50fb19f263c430,collapse,3,,,
CNN-k23,SW,Sequence Only,0.4334,0.6206,0.0312,0.0306,0.7727,0.0588,30.0,14.8,0f50fb19f263c430,collapse,4,,,
CNN-k23,SW,Sequence + Tabular,0.6939,0.8418,0.1181,0.0619,0.8734,0.1157,22.0,12.8,0f50fb19f263c430,collapse,4,,,
CNN-k23,SW,Sequence Only,0.4548,0.62,0.0312,0.0313,0.7597,0.06,17.0,8.3,0f50fb19f263c430,collapse,42,,,
CNN-k23,SW,Sequence + Tabular,0.7277,0.8414,0.1092,0.0667,0.8377,0.1236,20.0,11.2,0f50fb19f263c430,collapse,42,,,
CNN-k23,SW,Sequence Only,0.3739,0.5561,0.0892,0.0861,0.7396,0.1542,17.0,8.4,0f50fb19f263c430,corr,1,,,
CNN-k23,SW,Sequence + Tabular,0.7875,0.8299,0.2639,0.2275,0.7319,0.3471,29.0,15.7,0f50fb19f263c430,corr,1,,,
CNN-k23,SW,Sequence Only,0.3662,0.5534,0.0884,0.0858,0.7473,0.154,40.0,18.7,0f50fb19f263c430,corr,2,,,
CNN-k23,SW,Sequence + Tabular,0.6834,0.8284,0.27,0.1759,0.8419,0.291,22.0,12.0,0f50fb19f263c430,corr,2,,,
CNN-k23,SW,Sequence Only,0.3829,0.5534,0.088,0.0869,0.7358,0.1554,13.0,6.2,0f50fb19f263c430,corr,3,,,
CNN-k23,SW,Sequence + Tabular,0.7366,0.8316,0.2717,0.1997,0.8023,0.3198,26.0,14.3,0f50fb19f263c430,corr,3,,,
CNN-k23,SW,Sequence Only,0.363,0.5537,0.0895,0.0858,0.7512,0.154,23.0,11.0,0f50fb19f263c430,corr,4,,,
CNN-k23,SW,Sequence + Tabular,0.7566,0.8291,0.2729,0.2087,0.7715,0.3285,21.0,11.5,0f50fb19f263c430,corr,4,,,
CNN-k23,SW,Sequence Only,0.3711,0.5549,0.0889,0.0857,0.7396,0.1536,23.0,10.8,0f50fb19f263c430,corr,42,,,
CNN-k23,SW,Sequence + Tabular,0.7779,0.8285,0.2695,0.2204,0.7406,0.3397,31.0,16.9,0f50fb19f263c430,corr,42,,,
CNN-k23,SW,Sequence Only,0.365,0.5636,0.1068,0.1034,0.77,0.1823,34.0,16.0,0f50fb19f263c430,corrpacu,1,,,
CNN-k23,SW,Sequence + Tabular,0.7814,0.832,0.3107,0.2611,0.753,0.3877,28.0,15.1,0f50fb19f263c430,corrpacu,1,,,
CNN-k23,SW,Sequence Only,0.3847,0.5641,0.1071,0.1049,0.7563,0.1843,32.0,15.4,0f50fb19f263c430,corrpacu,2,,,
CNN-k23,SW,Sequence + Tabular,0.7953,0.8274,0.3036,0.2711,0.7263,0.3948,36.0,19.6,0f50fb19f263c430,corrpacu,2,,,
CNN-k23,SW,Sequence Only,0.3807,0.5624,0.1075,0.1037,0.7506,0.1822,21.0,10.2,0f50fb19f263c430,corrpacu,3,,,
CNN-k23,SW,Sequence + Tabular,0.7651,0.8305,0.3086,0.2495,0.7749,0.3774,26.0,14.1,0f50fb19f263c430,corrpacu,3,,,
CNN-k23,SW,Sequence Only,0.3726,0.5641,0.1091,0.1035,0.7603,0.1822,28.0,13.6,0f50fb19f263c430,corrpacu,4,,,
CNN-k23,SW,Sequence + Tabular,0.7814,0.8284,0.3159,0.2604,0.749,0.3865,26.0,14.4,0f50fb19f263c430,corrpacu,4,,,
CNN-k23,SW,Sequence Only,0.3578,0.564,0.106,0.1026,0.7725,0.1811,17.0,8.0,0f50fb19f263c430,corrpacu,42,,,
CNN-k23,SW,Sequence + Tabular,0.7831,0.8278,0.3112,0.2572,0.7198,0.3789,26.0,14.0,0f50fb19f263c430,corrpacu,42,,,
CNN-k23,ICU,Sequence Only,0.2801,0.5369,0.1277,0.1266,0.8576,0.2206,26.0,15.9,6e09b6e8a1606e84,lat,1,,,
CNN-k23,ICU,Sequence + Tabular,0.7573,0.7855,0.3855,0.2792,0.6599,0.3924,31.0,22.4,6e09b6e8a1606e84,lat,1,,,
CNN-k23,SW,Sequence Only,0.9119,0.6912,0.3575,0.5477,0.3676,0.4399,17.0,8.3,0f50fb19f263c430,lat,1,,,
CNN-k23,SW,Sequence + Tabular,0.8327,0.8945,0.6091,0.3349,0.7881,0.4701,28.0,16.1,0f50fb19f263c430,lat,1,,,
CNN-k23,ICU,Sequence Only,0.3026,0.5374,0.1271,0.1271,0.8297,0.2204,28.0,17.1,6e09b6e8a1606e84,lat,2,,,
CNN-k23,ICU,Sequence + Tabular,0.7369,0.7869,0.3796,0.2659,0.6897,0.3838,21.0,15.1,6e09b6e8a1606e84,lat,2,,,
CNN-k23,SW,Sequence Only,0.9107,0.6903,0.3588,0.5374,0.3692,0.4377,16.0,7.7,0f50fb19f263c430,lat,2,,,
CNN-k23,SW,Sequence + Tabular,0.8266,0.8936,0.6048,0.3252,0.7834,0.4596,19.0,10.8,0f50fb19f263c430,lat,2,,,
CNN-k23,ICU,Sequence Only,0.6271,0.5275,0.1262,0.1249,0.3561,0.1849,12.0,7.6,6e09b6e8a1606e84,lat,3,,,
CNN-k23,ICU,Sequence + Tabular,0.7517,0.7824,0.38,0.2748,0.6653,0.389,22.0,16.3,6e09b6e8a1606e84,lat,3,,,
CNN-k23,SW,Sequence Only,0.908,0.6905,0.3583,0.5161,0.3684,0.4299,29.0,14.1,0f50fb19f263c430,lat,3,,,
CNN-k23,SW,Sequence + Tabular,0.8328,0.8935,0.6027,0.3337,0.7787,0.4672,23.0,13.3,0f50fb19f263c430,lat,3,,,
CNN-k23,ICU,Sequence Only,0.6259,0.5311,0.1266,0.13,0.3775,0.1934,19.0,11.8,6e09b6e8a1606e84,lat,4,,,
CNN-k23,ICU,Sequence + Tabular,0.7371,0.7873,0.3809,0.2672,0.6962,0.3862,23.0,16.8,6e09b6e8a1606e84,lat,4,,,
CNN-k23,SW,Sequence Only,0.9088,0.6913,0.3553,0.5225,0.3668,0.431,41.0,19.8,0f50fb19f263c430,lat,4,,,
CNN-k23,SW,Sequence + Tabular,0.8338,0.8947,0.6077,0.3359,0.7834,0.4702,34.0,19.4,0f50fb19f263c430,lat,4,,,
CNN-k23,ICU,Sequence Only,0.6085,0.529,0.1254,0.1252,0.3835,0.1888,13.0,8.1,6e09b6e8a1606e84,lat,42,,,
CNN-k23,ICU,Sequence + Tabular,0.7577,0.7867,0.38,0.281,0.6668,0.3954,21.0,15.5,6e09b6e8a1606e84,lat,42,,,
CNN-k23,SW,Sequence Only,0.9082,0.6941,0.3584,0.5176,0.3723,0.4331,22.0,10.8,0f50fb19f263c430,lat,42,,,
CNN-k23,SW,Sequence + Tabular,0.8378,0.8933,0.601,0.3402,0.7692,0.4718,23.0,13.4,0f50fb19f263c430,lat,42,,,
CNN-k23,ICU,Sequence Only,0.3191,0.5356,0.1627,0.1604,0.8244,0.2686,23.0,13.7,6e09b6e8a1606e84,old,1,,,
CNN-k23,ICU,Sequence + Tabular,0.7939,0.8123,0.5278,0.3933,0.6617,0.4934,29.0,20.3,6e09b6e8a1606e84,old,1,,,
CNN-k23,SW,Sequence Only,0.8724,0.6465,0.3305,0.5896,0.2665,0.3671,18.0,8.8,0f50fb19f263c430,old,1,,,
CNN-k23,SW,Sequence + Tabular,0.8455,0.8797,0.6191,0.4634,0.7153,0.5624,31.0,17.0,0f50fb19f263c430,old,1,,,
CNN-k23,ICU,Sequence Only,0.7005,0.5359,0.1628,0.1674,0.2454,0.199,13.0,7.9,6e09b6e8a1606e84,old,2,,,
CNN-k23,ICU,Sequence + Tabular,0.7841,0.8085,0.5237,0.3783,0.659,0.4806,22.0,15.5,6e09b6e8a1606e84,old,2,,,
CNN-k23,SW,Sequence Only,0.8754,0.6496,0.3322,0.622,0.2611,0.3678,27.0,12.7,0f50fb19f263c430,old,2,,,
CNN-k23,SW,Sequence + Tabular,0.839,0.8824,0.6267,0.4518,0.7485,0.5635,27.0,14.8,0f50fb19f263c430,old,2,,,
CNN-k23,ICU,Sequence Only,0.3148,0.5396,0.1641,0.1612,0.8369,0.2703,40.0,23.7,6e09b6e8a1606e84,old,3,,,
CNN-k23,ICU,Sequence + Tabular,0.7929,0.8115,0.5246,0.3907,0.6539,0.4891,28.0,19.6,6e09b6e8a1606e84,old,3,,,
CNN-k23,SW,Sequence Only,0.8745,0.6477,0.3323,0.6127,0.2595,0.3646,29.0,13.6,0f50fb19f263c430,old,3,,,
CNN-k23,SW,Sequence + Tabular,0.8281,0.8785,0.6194,0.4327,0.7673,0.5534,26.0,14.2,0f50fb19f263c430,old,3,,,
CNN-k23,ICU,Sequence Only,0.3169,0.535,0.1625,0.1603,0.8268,0.2685,34.0,20.2,6e09b6e8a1606e84,old,4,,,
CNN-k23,ICU,Sequence + Tabular,0.7867,0.8114,0.5299,0.3828,0.6648,0.4859,28.0,19.4,6e09b6e8a1606e84,old,4,,,
CNN-k23,SW,Sequence Only,0.8754,0.6508,0.3357,0.6232,0.259,0.3659,16.0,7.5,0f50fb19f263c430,old,4,,,
CNN-k23,SW,Sequence + Tabular,0.8362,0.8786,0.6179,0.4451,0.7303,0.5531,39.0,21.2,0f50fb19f263c430,old,4,,,
CNN-k23,ICU,Sequence Only,0.3112,0.539,0.1637,0.1612,0.8428,0.2706,33.0,20.0,6e09b6e8a1606e84,old,42,,,
CNN-k23,ICU,Sequence + Tabular,0.7777,0.8129,0.5252,0.3721,0.6785,0.4807,23.0,16.0,6e09b6e8a1606e84,old,42,,,
CNN-k23,SW,Sequence Only,0.874,0.6476,0.3313,0.6051,0.2654,0.369,30.0,14.2,0f50fb19f263c430,old,42,,,
CNN-k23,SW,Sequence + Tabular,0.8527,0.8802,0.6191,0.4788,0.6912,0.5657,37.0,20.3,0f50fb19f263c430,old,42,,,
CNN-k23,ICU,Sequence Only,0.345,0.5432,0.155,0.1507,0.7934,0.2532,16.0,8.3,14d2082d80407129,restricted,1,,,
CNN-k23,ICU,Sequence + Tabular,0.7576,0.7864,0.4382,0.3207,0.6544,0.4304,22.0,13.1,14d2082d80407129,restricted,1,,,
CNN-k23,SW,Sequence Only,0.6836,0.6963,0.6346,0.7117,0.5264,0.6052,21.0,2.1,476006eb47fe7cf9,restricted,1,,,
CNN-k23,SW,Sequence + Tabular,0.7432,0.8089,0.8067,0.7455,0.6721,0.7069,41.0,4.8,476006eb47fe7cf9,restricted,1,,,
CNN-k23,ICU,Sequence Only,0.3507,0.5503,0.1593,0.1508,0.7856,0.253,16.0,8.3,14d2082d80407129,restricted,2,,,
CNN-k23,ICU,Sequence + Tabular,0.7517,0.7873,0.4391,0.3159,0.6636,0.428,30.0,17.7,14d2082d80407129,restricted,2,,,
CNN-k23,SW,Sequence Only,0.6825,0.6969,0.6386,0.6999,0.5442,0.6123,35.0,3.6,476006eb47fe7cf9,restricted,2,,,
CNN-k23,SW,Sequence + Tabular,0.7346,0.8056,0.8007,0.7289,0.6752,0.701,36.0,4.2,476006eb47fe7cf9,restricted,2,,,
CNN-k23,ICU,Sequence Only,0.3547,0.5511,0.157,0.151,0.7812,0.2532,18.0,9.4,14d2082d80407129,restricted,3,,,
CNN-k23,ICU,Sequence + Tabular,0.769,0.7857,0.4363,0.3315,0.6393,0.4366,25.0,14.9,14d2082d80407129,restricted,3,,,
CNN-k23,SW,Sequence Only,0.6839,0.6979,0.6398,0.7073,0.5357,0.6096,22.0,2.2,476006eb47fe7cf9,restricted,3,,,
CNN-k23,SW,Sequence + Tabular,0.7304,0.8024,0.7998,0.7194,0.6798,0.6991,50.0,5.8,476006eb47fe7cf9,restricted,3,,,
CNN-k23,ICU,Sequence Only,0.3384,0.5442,0.1562,0.1506,0.8026,0.2536,42.0,21.3,14d2082d80407129,restricted,4,,,
CNN-k23,ICU,Sequence + Tabular,0.7583,0.7882,0.4391,0.3215,0.6544,0.4312,24.0,14.2,14d2082d80407129,restricted,4,,,
CNN-k23,SW,Sequence Only,0.6843,0.6972,0.6405,0.7137,0.5256,0.6054,18.0,1.8,476006eb47fe7cf9,restricted,4,,,
CNN-k23,SW,Sequence + Tabular,0.7361,0.8025,0.8006,0.7286,0.6806,0.7038,60.0,7.0,476006eb47fe7cf9,restricted,4,,,
CNN-k23,ICU,Sequence Only,0.3444,0.5434,0.1541,0.1507,0.7948,0.2534,22.0,11.5,14d2082d80407129,restricted,42,,,
CNN-k23,ICU,Sequence + Tabular,0.7674,0.7846,0.4353,0.3286,0.6344,0.433,29.0,17.1,14d2082d80407129,restricted,42,,,
CNN-k23,SW,Sequence Only,0.6846,0.6993,0.6426,0.7144,0.5256,0.6056,24.0,2.5,476006eb47fe7cf9,restricted,42,,,
CNN-k23,SW,Sequence + Tabular,0.7396,0.8093,0.8071,0.7576,0.6395,0.6936,43.0,5.0,476006eb47fe7cf9,restricted,42,,,
CNN-LSTM,SW,Sequence Only,0.4511,0.6216,0.0312,0.0309,0.7565,0.0594,12.0,6.8,0f50fb19f263c430,collapse,1,,,
CNN-LSTM,SW,Sequence + Tabular,0.7109,0.8426,0.108,0.0645,0.8604,0.12,21.0,13.1,0f50fb19f263c430,collapse,1,,,
CNN-LSTM,SW,Sequence Only,0.3324,0.6196,0.0309,0.0291,0.8701,0.0564,14.0,7.9,0f50fb19f263c430,collapse,2,,,
CNN-LSTM,SW,Sequence + Tabular,0.7274,0.8401,0.1075,0.0662,0.8312,0.1226,31.0,19.4,0f50fb19f263c430,collapse,2,,,
CNN-LSTM,SW,Sequence Only,0.3285,0.617,0.031,0.029,0.8701,0.0561,25.0,14.1,0f50fb19f263c430,collapse,3,,,
CNN-LSTM,SW,Sequence + Tabular,0.7333,0.8441,0.1036,0.0692,0.8539,0.128,24.0,15.0,0f50fb19f263c430,collapse,3,,,
CNN-LSTM,SW,Sequence Only,0.3293,0.6193,0.0308,0.029,0.8701,0.0561,13.0,7.9,0f50fb19f263c430,collapse,4,,,
CNN-LSTM,SW,Sequence + Tabular,0.7907,0.8446,0.1082,0.0796,0.7695,0.1442,31.0,20.2,0f50fb19f263c430,collapse,4,,,
CNN-LSTM,SW,Sequence Only,0.4286,0.6225,0.0309,0.0305,0.776,0.0586,21.0,11.8,0f50fb19f263c430,collapse,42,,,
CNN-LSTM,SW,Sequence + Tabular,0.7243,0.8378,0.0949,0.0668,0.8506,0.1239,26.0,16.2,0f50fb19f263c430,collapse,42,,,
CNN-LSTM,SW,Sequence Only,0.3582,0.5545,0.0884,0.0855,0.7541,0.1535,23.0,12.8,0f50fb19f263c430,corr,1,,,
CNN-LSTM,SW,Sequence + Tabular,0.7909,0.8304,0.2609,0.2298,0.7271,0.3492,28.0,17.4,0f50fb19f263c430,corr,1,,,
CNN-LSTM,SW,Sequence Only,0.3547,0.5563,0.0888,0.0855,0.7589,0.1536,24.0,13.4,0f50fb19f263c430,corr,2,,,
CNN-LSTM,SW,Sequence + Tabular,0.8002,0.827,0.2552,0.2314,0.6847,0.3459,38.0,23.7,0f50fb19f263c430,corr,2,,,
CNN-LSTM,SW,Sequence Only,0.3512,0.554,0.0884,0.0848,0.756,0.1524,25.0,13.8,0f50fb19f263c430,corr,3,,,
CNN-LSTM,SW,Sequence + Tabular,0.7493,0.8306,0.2671,0.2042,0.7763,0.3234,31.0,19.2,0f50fb19f263c430,corr,3,,,
CNN-LSTM,SW,Sequence Only,0.3733,0.5564,0.0886,0.0865,0.7445,0.1549,25.0,14.1,0f50fb19f263c430,corr,4,,,
CNN-LSTM,SW,Sequence + Tabular,0.7936,0.8314,0.2655,0.2329,0.73,0.3531,28.0,17.5,0f50fb19f263c430,corr,4,,,
CNN-LSTM,SW,Sequence Only,0.3635,0.5515,0.0871,0.0853,0.7454,0.1531,15.0,8.9,0f50fb19f263c430,corr,42,,,
CNN-LSTM,SW,Sequence + Tabular,0.7917,0.8283,0.2646,0.2288,0.7165,0.3468,29.0,18.1,0f50fb19f263c430,corr,42,,,
CNN-LSTM,SW,Sequence Only,0.411,0.5619,0.1057,0.1062,0.7296,0.1854,44.0,24.3,0f50fb19f263c430,corrpacu,1,,,
CNN-LSTM,SW,Sequence + Tabular,0.7394,0.8262,0.3022,0.2315,0.7911,0.3581,22.0,13.8,0f50fb19f263c430,corrpacu,1,,,
CNN-LSTM,SW,Sequence Only,0.3567,0.5617,0.1053,0.1029,0.7773,0.1817,24.0,13.4,0f50fb19f263c430,corrpacu,2,,,
CNN-LSTM,SW,Sequence + Tabular,0.7776,0.8334,0.321,0.2583,0.7587,0.3854,25.0,15.5,0f50fb19f263c430,corrpacu,2,,,
CNN-LSTM,SW,Sequence Only,0.3734,0.5626,0.1062,0.1038,0.7619,0.1827,25.0,14.1,0f50fb19f263c430,corrpacu,3,,,
CNN-LSTM,SW,Sequence + Tabular,0.795,0.8326,0.3154,0.2727,0.7377,0.3982,33.0,20.9,0f50fb19f263c430,corrpacu,3,,,
CNN-LSTM,SW,Sequence Only,0.3601,0.5621,0.1061,0.1035,0.7781,0.1827,31.0,17.1,0f50fb19f263c430,corrpacu,4,,,
CNN-LSTM,SW,Sequence + Tabular,0.8055,0.8349,0.3256,0.2832,0.7296,0.4081,33.0,20.6,0f50fb19f263c430,corrpacu,4,,,
CNN-LSTM,SW,Sequence Only,0.401,0.5639,0.1069,0.1059,0.7409,0.1852,32.0,18.7,0f50fb19f263c430,corrpacu,42,,,
CNN-LSTM,SW,Sequence + Tabular,0.7807,0.8296,0.3121,0.257,0.7328,0.3805,28.0,17.9,0f50fb19f263c430,corrpacu,42,,,
CNN-LSTM,ICU,Sequence Only,0.302,0.5373,0.1271,0.1271,0.8307,0.2204,28.0,19.5,6e09b6e8a1606e84,lat,1,,,
CNN-LSTM,ICU,Sequence + Tabular,0.7393,0.7864,0.3888,0.2674,0.6868,0.3849,38.0,29.8,6e09b6e8a1606e84,lat,1,,,
CNN-LSTM,SW,Sequence Only,0.9099,0.692,0.3578,0.5309,0.3668,0.4338,17.0,9.2,0f50fb19f263c430,lat,1,,,
CNN-LSTM,SW,Sequence + Tabular,0.8392,0.8955,0.6005,0.3428,0.7715,0.4747,21.0,13.1,0f50fb19f263c430,lat,1,,,
CNN-LSTM,ICU,Sequence Only,0.2052,0.5263,0.1248,0.1247,0.9452,0.2203,13.0,9.3,6e09b6e8a1606e84,lat,2,,,
CNN-LSTM,ICU,Sequence + Tabular,0.7398,0.7879,0.3841,0.2689,0.6927,0.3874,30.0,23.6,6e09b6e8a1606e84,lat,2,,,
CNN-LSTM,SW,Sequence Only,0.9238,0.6924,0.3502,0.6886,0.3478,0.4622,12.0,6.7,0f50fb19f263c430,lat,2,,,
CNN-LSTM,SW,Sequence + Tabular,0.8289,0.8925,0.599,0.3285,0.7826,0.4627,20.0,12.5,0f50fb19f263c430,lat,2,,,
CNN-LSTM,ICU,Sequence Only,0.1781,0.5208,0.1242,0.1227,0.9626,0.2177,12.0,8.6,6e09b6e8a1606e84,lat,3,,,
CNN-LSTM,ICU,Sequence + Tabular,0.7606,0.7855,0.3819,0.2824,0.6584,0.3952,24.0,19.0,6e09b6e8a1606e84,lat,3,,,
CNN-LSTM,SW,Sequence Only,0.9148,0.6938,0.3591,0.5748,0.3644,0.4461,17.0,9.3,0f50fb19f263c430,lat,3,,,
CNN-LSTM,SW,Sequence + Tabular,0.838,0.8938,0.6006,0.3406,0.77,0.4722,22.0,13.8,0f50fb19f263c430,lat,3,,,
CNN-LSTM,ICU,Sequence Only,0.6011,0.5271,0.1255,0.1245,0.3909,0.1889,13.0,9.3,6e09b6e8a1606e84,lat,4,,,
CNN-LSTM,ICU,Sequence + Tabular,0.7418,0.7887,0.3814,0.2715,0.6972,0.3908,30.0,23.7,6e09b6e8a1606e84,lat,4,,,
CNN-LSTM,SW,Sequence Only,0.9232,0.6942,0.3595,0.6784,0.3502,0.4619,13.0,7.1,0f50fb19f263c430,lat,4,,,
CNN-LSTM,SW,Sequence + Tabular,0.8568,0.8934,0.6065,0.3702,0.7431,0.4942,37.0,23.0,0f50fb19f263c430,lat,4,,,
CNN-LSTM,ICU,Sequence Only,0.2351,0.5247,0.1251,0.1243,0.8994,0.2184,12.0,8.3,6e09b6e8a1606e84,lat,42,,,
CNN-LSTM,ICU,Sequence + Tabular,0.7652,0.7871,0.3832,0.287,0.6579,0.3997,26.0,20.3,6e09b6e8a1606e84,lat,42,,,
CNN-LSTM,SW,Sequence Only,0.926,0.6901,0.3459,0.7243,0.3447,0.4671,12.0,6.6,0f50fb19f263c430,lat,42,,,
CNN-LSTM,SW,Sequence + Tabular,0.8625,0.8973,0.6096,0.3821,0.7455,0.5052,33.0,20.4,0f50fb19f263c430,lat,42,,,
CNN-LSTM,ICU,Sequence Only,0.352,0.53,0.1615,0.1591,0.7636,0.2633,23.0,16.6,6e09b6e8a1606e84,old,1,,,
CNN-LSTM,ICU,Sequence + Tabular,0.7971,0.8112,0.5262,0.3977,0.6567,0.4954,26.0,21.3,6e09b6e8a1606e84,old,1,,,
CNN-LSTM,SW,Sequence Only,0.8843,0.6445,0.3245,0.7553,0.2466,0.3719,19.0,11.1,0f50fb19f263c430,old,1,,,
CNN-LSTM,SW,Sequence + Tabular,0.8216,0.8786,0.6124,0.4232,0.7855,0.55,22.0,14.6,0f50fb19f263c430,old,1,,,
CNN-LSTM,ICU,Sequence Only,0.2501,0.5316,0.1612,0.1577,0.9091,0.2688,13.0,9.4,6e09b6e8a1606e84,old,2,,,
CNN-LSTM,ICU,Sequence + Tabular,0.78,0.8093,0.5229,0.3746,0.673,0.4813,25.0,20.0,6e09b6e8a1606e84,old,2,,,
CNN-LSTM,SW,Sequence Only,0.8753,0.6471,0.3275,0.6223,0.2579,0.3647,16.0,9.0,0f50fb19f263c430,old,2,,,
CNN-LSTM,SW,Sequence + Tabular,0.8338,0.8796,0.6132,0.4423,0.7566,0.5583,31.0,19.8,0f50fb19f263c430,old,2,,,
CNN-LSTM,ICU,Sequence Only,0.3574,0.5329,0.1629,0.159,0.755,0.2627,29.0,20.9,6e09b6e8a1606e84,old,3,,,
CNN-LSTM,ICU,Sequence + Tabular,0.7715,0.8076,0.5258,0.3653,0.6879,0.4772,21.0,17.4,6e09b6e8a1606e84,old,3,,,
CNN-LSTM,SW,Sequence Only,0.8843,0.6462,0.3276,0.7553,0.2466,0.3719,17.0,10.0,0f50fb19f263c430,old,3,,,
CNN-LSTM,SW,Sequence + Tabular,0.8468,0.8792,0.6159,0.4661,0.7121,0.5634,29.0,19.1,0f50fb19f263c430,old,3,,,
CNN-LSTM,ICU,Sequence Only,0.3028,0.5308,0.1614,0.1599,0.8459,0.269,20.0,14.2,6e09b6e8a1606e84,old,4,,,
CNN-LSTM,ICU,Sequence + Tabular,0.7865,0.8077,0.5242,0.3827,0.6648,0.4857,22.0,17.3,6e09b6e8a1606e84,old,4,,,
CNN-LSTM,SW,Sequence Only,0.8696,0.6485,0.3335,0.5633,0.2697,0.3648,25.0,13.6,0f50fb19f263c430,old,4,,,
CNN-LSTM,SW,Sequence + Tabular,0.835,0.8786,0.6156,0.4443,0.7523,0.5586,26.0,16.1,0f50fb19f263c430,old,4,,,
CNN-LSTM,ICU,Sequence Only,0.3087,0.5275,0.1601,0.1569,0.8139,0.2631,13.0,9.6,6e09b6e8a1606e84,old,42,,,
CNN-LSTM,ICU,Sequence + Tabular,0.7949,0.8117,0.5287,0.3938,0.6543,0.4917,25.0,20.2,6e09b6e8a1606e84,old,42,,,
CNN-LSTM,SW,Sequence Only,0.8733,0.6471,0.3247,0.6007,0.2606,0.3635,11.0,6.2,0f50fb19f263c430,old,42,,,
CNN-LSTM,SW,Sequence + Tabular,0.8352,0.8817,0.6179,0.4444,0.7496,0.558,29.0,18.6,0f50fb19f263c430,old,42,,,
CNN-LSTM,ICU,Sequence Only,0.3346,0.5448,0.154,0.1508,0.8104,0.2543,18.0,10.7,14d2082d80407129,restricted,1,,,
CNN-LSTM,ICU,Sequence + Tabular,0.7646,0.7872,0.4385,0.3275,0.6471,0.4349,24.0,16.1,14d2082d80407129,restricted,1,,,
CNN-LSTM,SW,Sequence Only,0.6839,0.6954,0.6347,0.709,0.5326,0.6082,37.0,4.4,476006eb47fe7cf9,restricted,1,,,
CNN-LSTM,SW,Sequence + Tabular,0.7386,0.8068,0.8054,0.7376,0.6713,0.7029,33.0,4.4,476006eb47fe7cf9,restricted,1,,,
CNN-LSTM,ICU,Sequence Only,0.3354,0.5423,0.1547,0.1504,0.806,0.2535,29.0,17.2,14d2082d80407129,restricted,2,,,
CNN-LSTM,ICU,Sequence + Tabular,0.7699,0.788,0.4419,0.3323,0.6378,0.437,28.0,18.9,14d2082d80407129,restricted,2,,,
CNN-LSTM,SW,Sequence Only,0.6843,0.6963,0.6364,0.7256,0.5062,0.5963,17.0,2.0,476006eb47fe7cf9,restricted,2,,,
CNN-LSTM,SW,Sequence + Tabular,0.7407,0.8067,0.8047,0.7582,0.6419,0.6952,30.0,4.0,476006eb47fe7cf9,restricted,2,,,
CNN-LSTM,ICU,Sequence Only,0.3444,0.5439,0.1562,0.1507,0.7944,0.2533,29.0,17.2,14d2082d80407129,restricted,3,,,
CNN-LSTM,ICU,Sequence + Tabular,0.7317,0.7845,0.4347,0.2997,0.6855,0.417,20.0,13.5,14d2082d80407129,restricted,3,,,
CNN-LSTM,SW,Sequence Only,0.6836,0.6958,0.6358,0.7087,0.5318,0.6076,37.0,4.4,476006eb47fe7cf9,restricted,3,,,
CNN-LSTM,SW,Sequence + Tabular,0.7364,0.8053,0.8055,0.7505,0.6411,0.6915,37.0,4.9,476006eb47fe7cf9,restricted,3,,,
CNN-LSTM,ICU,Sequence Only,0.33,0.5433,0.1567,0.1506,0.8158,0.2542,27.0,16.1,14d2082d80407129,restricted,4,,,
CNN-LSTM,ICU,Sequence + Tabular,0.7695,0.7892,0.4419,0.331,0.6334,0.4348,36.0,24.1,14d2082d80407129,restricted,4,,,
CNN-LSTM,SW,Sequence Only,0.6825,0.6965,0.6378,0.7056,0.5333,0.6075,26.0,3.1,476006eb47fe7cf9,restricted,4,,,
