Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
GRU,SW,Sequence Only,0.4278,0.6173,0.0306,0.0304,0.776,0.0585,20,18.7,0f50fb19f263c430
GRU,SW,Sequence + Tabular,0.7176,0.8385,0.1069,0.066,0.8604,0.1225,22,22.0,0f50fb19f263c430
