Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
GRU,SW,Sequence Only,0.3843,0.563,0.1063,0.1045,0.753,0.1836,33,30.4,0f50fb19f263c430
GRU,SW,Sequence + Tabular,0.8001,0.8325,0.3197,0.2756,0.7215,0.3988,36,35.8,0f50fb19f263c430
