Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
GRU,SW,Sequence Only,0.4011,0.5609,0.1065,0.1049,0.732,0.1834,25,24.9,0f50fb19f263c430
GRU,SW,Sequence + Tabular,0.7707,0.8331,0.3209,0.2536,0.7692,0.3814,27,27.5,0f50fb19f263c430
