Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
LSTM,ICU,Sequence Only,0.3338,0.5444,0.1556,0.1509,0.8123,0.2545,38,38.0,14d2082d80407129
LSTM,ICU,Sequence + Tabular,0.7717,0.7908,0.4408,0.3351,0.6412,0.4402,33,35.9,14d2082d80407129
LSTM,SW,Sequence Only,0.6821,0.6892,0.6364,0.7088,0.5264,0.6041,27,5.4,476006eb47fe7cf9
LSTM,SW,Sequence + Tabular,0.7364,0.8077,0.8065,0.7266,0.686,0.7057,43,9.1,476006eb47fe7cf9
