Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
LSTM,SW,Sequence Only,0.4216,0.5611,0.1066,0.1058,0.7101,0.1841,29,27.4,0f50fb19f263c430
LSTM,SW,Sequence + Tabular,0.7602,0.828,0.3117,0.2448,0.7717,0.3717,28,28.3,0f50fb19f263c430
