Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
LSTM,ICU,Sequence Only,0.3082,0.5306,0.1614,0.1608,0.8447,0.2702,21,25.7,6e09b6e8a1606e84
LSTM,ICU,Sequence + Tabular,0.769,0.8084,0.5251,0.3614,0.682,0.4724,20,26.3,6e09b6e8a1606e84
LSTM,SW,Sequence Only,0.8705,0.6463,0.333,0.5705,0.2713,0.3677,34,32.1,0f50fb19f263c430
LSTM,SW,Sequence + Tabular,0.8425,0.8789,0.615,0.4572,0.719,0.559,35,36.0,0f50fb19f263c430
