Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
LSTM,SW,Sequence Only,0.3947,0.5572,0.0893,0.0866,0.7165,0.1545,24,22.7,0f50fb19f263c430
LSTM,SW,Sequence + Tabular,0.785,0.8256,0.2609,0.2246,0.7281,0.3433,31,31.1,0f50fb19f263c430
