Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
LSTM,SW,Sequence Only,0.467,0.5637,0.1058,0.1077,0.6591,0.1852,29,27.1,0f50fb19f263c430
LSTM,SW,Sequence + Tabular,0.8061,0.825,0.3082,0.2759,0.6834,0.3931,34,34.3,0f50fb19f263c430
