Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
LSTM,ICU,Sequence Only,0.2659,0.5206,0.159,0.1573,0.8814,0.2669,13,15.9,6e09b6e8a1606e84
LSTM,ICU,Sequence + Tabular,0.7632,0.8077,0.5247,0.356,0.6941,0.4706,18,23.2,6e09b6e8a1606e84
LSTM,SW,Sequence Only,0.8691,0.6487,0.3332,0.5581,0.2729,0.3666,19,17.7,0f50fb19f263c430
LSTM,SW,Sequence + Tabular,0.8389,0.8797,0.6165,0.4508,0.7362,0.5592,31,31.3,0f50fb19f263c430
