Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
LSTM,SW,Sequence Only,0.3915,0.5555,0.0885,0.0863,0.7184,0.1541,29,27.7,0f50fb19f263c430
LSTM,SW,Sequence + Tabular,0.8049,0.8289,0.2653,0.2384,0.6962,0.3552,26,26.4,0f50fb19f263c430
