Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
LSTM,SW,Sequence Only,0.4194,0.6185,0.0309,0.03,0.776,0.0577,33,31.0,0f50fb19f263c430
LSTM,SW,Sequence + Tabular,0.6894,0.8389,0.1081,0.0599,0.8539,0.1119,21,21.2,0f50fb19f263c430
