Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
BiGRU,SW,Sequence Only,0.3624,0.5509,0.0872,0.0854,0.7483,0.1534,37,40.4,0f50fb19f263c430
BiGRU,SW,Sequence + Tabular,0.8046,0.8299,0.2649,0.2396,0.7049,0.3576,36,41.9,0f50fb19f263c430
