Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
BiGRU,ICU,Sequence Only,0.2884,0.5362,0.1274,0.1268,0.8476,0.2206,25,36.3,6e09b6e8a1606e84
BiGRU,ICU,Sequence + Tabular,0.7646,0.7897,0.3853,0.2865,0.6584,0.3992,30,47.1,6e09b6e8a1606e84
BiGRU,SW,Sequence Only,0.9241,0.6917,0.3551,0.6905,0.351,0.4654,19,21.8,0f50fb19f263c430
BiGRU,SW,Sequence + Tabular,0.8651,0.8926,0.6062,0.3855,0.7289,0.5042,28,34.6,0f50fb19f263c430
