Model,Cohort,Condition,Accuracy,AUROC,AUPRC,Precision,Recall,F1,Epochs,Train_Time_s,split_id
BiGRU,ICU,Sequence Only,0.3279,0.5446,0.155,0.1508,0.8211,0.2549,28,33.5,14d2082d80407129
BiGRU,ICU,Sequence + Tabular,0.7458,0.7897,0.4416,0.3117,0.6753,0.4265,26,33.4,14d2082d80407129
BiGRU,SW,Sequence Only,0.685,0.6932,0.6372,0.7166,0.5233,0.6048,20,4.7,476006eb47fe7cf9
BiGRU,SW,Sequence + Tabular,0.7346,0.8043,0.8033,0.7489,0.638,0.689,28,7.0,476006eb47fe7cf9
